B2_pos	ss	B2_reads
100356776	3ss	41
100356912	5ss	52
100357162	3ss	52
100357263	3ss	54
100357295	5ss	57
100357400	5ss	85
100357536	3ss	33
100357564	5ss	36
100357988	3ss	57
100358163	5ss	77
10035833	5ss	62
100360966	3ss	36
100361095	5ss	36
10036150	3ss	25
100361842	3ss	77
100361944	5ss	51
100363482	3ss	36
100363631	5ss	10
100364462	3ss	85
100364570	3ss	10
100364580	5ss	48
100364639	5ss	12
100364880	3ss	48
100364987	5ss	62
100366192	3ss	51
100366417	5ss	67
100367266	3ss	12
100367376	5ss	13
100368239	3ss	67
100368350	5ss	93
1003722	3ss	52
1003728	3ss	441
100373975	3ss	13
100374070	5ss	30
100375391	3ss	62
100375439	5ss	43
100375682	3ss	30
100375727	3ss	43
100375773	5ss	37
100375816	5ss	40
100376268	3ss	93
100376403	5ss	53
100376579	3ss	40
100376678	5ss	44
100377759	3ss	44
100377913	5ss	14
100377961	3ss	53
100378073	5ss	70
100379083	3ss	70
100379294	5ss	20
1003801	5ss	290
1003804	5ss	124
100380516	3ss	14
100380641	5ss	13
100380903	3ss	13
100380945	3ss	20
100381034	5ss	23
100381042	5ss	40
100381698	3ss	37
100381787	5ss	70
100381966	3ss	40
100382053	5ss	100
100382127	3ss	70
100382154	3ss	100
100382255	5ss	93
100382287	5ss	78
100382487	3ss	93
100382654	5ss	61
100383705	3ss	61
100383825	5ss	68
100384119	3ss	23
100384186	5ss	30
100384971	3ss	68
100385062	5ss	59
100387090	3ss	78
100387126	3ss	30
100387179	3ss	59
100387214	5ss	18
100387296	5ss	63
100387381	3ss	63
100387445	5ss	29
100395655	3ss	29
100395749	5ss	49
100396197	5ss	64
100396436	3ss	24
100396545	5ss	26
100400053	3ss	49
100400188	5ss	68
100401142	3ss	68
100401266	5ss	80
100402366	3ss	18
100402463	5ss	21
100402584	3ss	21
100402671	5ss	37
100402752	3ss	80
100402800	5ss	61
100402932	3ss	61
100403076	3ss	64
100403150	5ss	81
100403164	5ss	101
100403785	3ss	26
100403844	3ss	101
100403932	5ss	17
100403944	5ss	162
100404154	3ss	37
100404249	5ss	25
100405486	3ss	162
100405534	3ss	25
100405642	5ss	174
100405664	5ss	10
100406324	3ss	10
100407399	3ss	174
100407506	5ss	109
100407893	3ss	109
100408014	5ss	185
100409774	3ss	185
100409843	5ss	105
100410290	3ss	105
100410505	5ss	104
10041089	3ss	62
10041228	5ss	56
100412785	3ss	104
100412882	5ss	180
100413592	3ss	180
100413655	5ss	184
100416080	3ss	184
100416190	5ss	92
100416517	3ss	81
100416558	5ss	75
100417162	3ss	92
100417226	5ss	61
100417822	3ss	75
100417984	3ss	61
100418046	5ss	96
100418293	3ss	96
100418367	5ss	136
100420922	3ss	136
100421025	5ss	107
100423228	3ss	107
100423350	5ss	93
10042359	3ss	56
100424324	3ss	93
100424426	5ss	58
100425236	3ss	58
100425264	5ss	16
100425329	5ss	77
100426622	3ss	77
100426725	5ss	145
100428275	5ss	16
100428565	5ss	234
100429045	3ss	145
100429159	5ss	333
100431128	3ss	333
100431256	5ss	241
100431875	3ss	241
100431988	5ss	87
100432487	3ss	250
100432713	5ss	787
100433368	3ss	87
100435718	5ss	108
100438394	5ss	16
100438819	3ss	787
100438902	5ss	784
100440527	3ss	40
100440625	5ss	48
100443765	3ss	17
100447556	3ss	784
100447702	5ss	376
10044988	3ss	77
10045135	5ss	51
100451352	3ss	376
100451516	5ss	1212
100452000	5ss	14
100452242	3ss	14
100452376	5ss	27
100453328	3ss	27
100454798	5ss	37
100454863	5ss	19
100455420	3ss	1212
100455548	5ss	82
100455560	5ss	264
100456457	3ss	37
100456564	5ss	61
100456672	3ss	61
100456783	5ss	38
100457507	3ss	38
100457664	5ss	33
100457772	3ss	33
100457854	5ss	31
100458760	3ss	31
100458884	5ss	51
100459014	3ss	51
100459093	3ss	116
100459206	5ss	36
100459297	5ss	85
100459359	3ss	36
100459533	5ss	50
100460303	3ss	50
100460449	5ss	85
100463341	3ss	85
100463677	3ss	346
100463775	5ss	554
100464817	3ss	85
100464971	5ss	114
100465228	5ss	346
100465483	3ss	346
100465610	5ss	112
100465730	3ss	112
100465855	5ss	255
100466117	3ss	255
100466488	5ss	227
100466993	3ss	554
100467992	3ss	227
100468085	5ss	185
100468196	3ss	185
100468365	5ss	272
100469165	3ss	272
100469343	5ss	175
100470246	3ss	175
100470366	5ss	186
100470794	3ss	186
100472590	3ss	114
100472712	5ss	82
100473333	5ss	399
100476921	3ss	82
100477089	5ss	159
100478906	3ss	399
100479034	5ss	213
100479280	3ss	213
100479426	5ss	210
100479642	3ss	19
100479674	3ss	210
100479862	5ss	167
100480386	3ss	15
100480858	3ss	159
100480976	5ss	49
100481691	3ss	142
100481860	5ss	322
100481989	3ss	322
100482173	5ss	423
100482361	3ss	423
100482459	5ss	584
100482544	3ss	584
100482661	5ss	286
100482834	3ss	166
100482837	3ss	120
100482991	5ss	181
100483238	3ss	49
100483322	3ss	181
100483371	5ss	125
100483383	5ss	157
100483484	3ss	157
100483562	5ss	298
100483868	3ss	298
100484056	5ss	396
100484416	3ss	396
100484589	5ss	365
100484668	3ss	365
100484821	5ss	403
100484941	3ss	403
100485134	5ss	348
100485324	3ss	348
100485480	5ss	155
100485675	3ss	155
100485764	5ss	468
100485878	3ss	468
100486004	5ss	320
100486095	3ss	320
100487942	3ss	125
100493827	3ss	10
100496127	5ss	1045
100503062	3ss	1045
100503249	5ss	812
100503872	5ss	157
100504531	3ss	812
100504674	5ss	578
10050865	3ss	51
10051042	5ss	68
100510800	3ss	578
100510907	5ss	590
100511115	3ss	16
100511303	5ss	14
100512392	3ss	590
100512508	5ss	423
100512808	3ss	423
100512947	5ss	790
100514086	5ss	11
100515064	3ss	11
100515178	5ss	15
100515245	3ss	14
100515465	3ss	157
100515560	5ss	160
100515890	3ss	790
100516040	5ss	538
10051640	3ss	68
10051686	5ss	81
100518224	3ss	538
100518381	5ss	744
100519365	3ss	15
100519431	5ss	10
100521722	3ss	744
100521890	5ss	604
100522764	3ss	604
100522871	5ss	842
100523316	5ss	17
100523332	3ss	10
1005237	3ss	290
100523740	5ss	11
100524222	3ss	160
100524284	5ss	123
100525434	3ss	123
100525561	5ss	105
100527391	3ss	105
100527505	5ss	242
100527905	3ss	842
100528117	5ss	920
100529923	3ss	920
100530134	5ss	479
100532300	3ss	479
100532397	5ss	490
100532489	3ss	490
100532610	5ss	389
10053288	3ss	81
100533127	3ss	11
100533238	5ss	10
100533533	3ss	242
100533751	5ss	270
10053378	5ss	52
100534029	3ss	270
100534070	3ss	389
100534142	5ss	114
100534297	5ss	475
100535170	3ss	114
100535241	5ss	87
100540131	3ss	475
100540255	5ss	462
100542218	3ss	462
100542388	5ss	646
100542721	3ss	87
100542833	5ss	105
100543572	3ss	17
100543834	3ss	646
100544007	3ss	105
100544104	5ss	190
100546052	3ss	190
100546215	5ss	332
100547559	3ss	332
100551024	3ss	16
100551192	5ss	50
100558563	5ss	14
100563818	3ss	50
100563995	5ss	64
100568678	3ss	10
100568881	5ss	44
1005742	5ss	38
100587886	3ss	44
100588012	5ss	14
100589718	3ss	14
1005898	5ss	630
100589861	5ss	10
100589876	3ss	64
100589939	5ss	71
10059170	3ss	52
10059240	5ss	61
100593044	3ss	71
100593108	5ss	72
100594697	5ss	50
100594856	3ss	72
100595085	5ss	48
100595900	3ss	48
100596021	5ss	68
10059727	3ss	61
100598718	3ss	50
100598835	5ss	75
100598871	5ss	33
100599056	3ss	68
100599116	5ss	82
100599454	3ss	75
10059949	5ss	62
100599522	5ss	99
100601441	3ss	99
100601564	5ss	140
100602242	3ss	82
100602305	5ss	95
100602438	3ss	33
100602484	5ss	41
100602575	3ss	41
100602641	5ss	29
100603851	3ss	140
100603915	3ss	95
100603981	5ss	112
100603986	5ss	95
100604073	3ss	95
100604077	3ss	112
100604129	5ss	100
100604139	5ss	48
100605205	3ss	29
100605267	5ss	26
100605738	3ss	26
100605807	5ss	35
100605964	3ss	35
100606034	3ss	100
100606132	5ss	195
100606228	3ss	195
100606306	5ss	144
100606575	5ss	13
100607517	3ss	48
100607583	5ss	71
100608073	3ss	71
100608130	5ss	64
100608693	3ss	13
100608765	5ss	37
100609625	3ss	37
100609699	5ss	28
100609712	5ss	12
100609805	3ss	12
100610038	3ss	64
100612193	3ss	144
100612364	5ss	114
100613450	3ss	28
100613786	3ss	114
100613882	5ss	28
100613924	5ss	171
100614181	3ss	28
100617564	3ss	171
1006258	3ss	38
1006352	5ss	108
100641074	3ss	14
100641169	5ss	16
100646034	5ss	1736
100646447	3ss	1736
100646552	5ss	4019
100646743	3ss	4019
100646810	5ss	2119
100650323	3ss	2119
100650445	5ss	3752
100650716	3ss	3752
1006528	3ss	124
100654039	3ss	10
100654726	5ss	18
100661174	5ss	51
1006617	5ss	116
100663307	5ss	124
1006645	3ss	630
100665836	3ss	16
100665897	5ss	26
100666924	3ss	124
100673582	3ss	18
100673719	5ss	11
100676721	3ss	51
100676925	5ss	159
10068157	5ss	70
10068310	5ss	30
1006847	5ss	453
100685281	3ss	159
100685438	5ss	274
100691809	3ss	274
100691953	5ss	175
1007	3ss	109
10070309	3ss	100
10070405	5ss	191
100704822	3ss	175
100704971	5ss	131
100706210	3ss	131
100706260	5ss	161
100706431	5ss	114
100707200	3ss	114
100707316	5ss	118
100708267	3ss	118
100708392	5ss	189
100709336	3ss	189
100709512	5ss	204
100711581	3ss	204
100711703	5ss	252
100711753	3ss	11
100712160	5ss	16
100717303	3ss	252
100717416	5ss	107
100720400	3ss	107
100720532	5ss	148
100722979	3ss	148
100723097	5ss	249
100727944	3ss	249
100728044	5ss	213
100728641	3ss	161
100728803	5ss	533
100728852	5ss	47
100729399	3ss	16
100729403	3ss	213
100729469	5ss	237
100729589	3ss	237
100729601	5ss	11
100729684	5ss	228
100730285	3ss	26
100730287	3ss	47
100730356	5ss	31
100730449	5ss	59
100730593	3ss	59
100731165	3ss	228
100731284	5ss	220
100731976	5ss	164
100732080	3ss	164
100732180	5ss	146
100732306	3ss	220
100732573	3ss	11
100732780	5ss	10
100733091	3ss	10
100733708	3ss	146
100733851	5ss	124
100736113	3ss	124
100736236	5ss	133
100738950	3ss	133
100739008	5ss	133
10073912	3ss	62
100740380	3ss	133
100740521	5ss	213
100741035	3ss	533
100741095	5ss	593
100741155	3ss	213
100741279	5ss	157
100742814	3ss	157
100742827	3ss	593
100742872	5ss	201
100742985	5ss	331
100743755	3ss	331
10074516	3ss	191
100745891	5ss	43
10074656	5ss	182
100750784	3ss	201
100750878	5ss	284
100752655	3ss	284
100752759	5ss	268
100755214	5ss	11
100756913	3ss	43
100756959	3ss	268
100757062	5ss	101
100760838	3ss	101
100760960	5ss	198
10076153	3ss	182
10076220	5ss	195
10076379	3ss	195
100764095	3ss	11
100764142	5ss	11
100764247	3ss	11
100764315	5ss	15
10076482	5ss	219
100767246	3ss	198
100767435	5ss	252
10076857	3ss	219
10076917	5ss	262
100770525	5ss	349
100771674	3ss	349
100771945	5ss	370
100773553	3ss	252
100773671	5ss	162
100773702	3ss	370
100773935	5ss	407
100774703	3ss	162
100774754	5ss	166
100775156	3ss	407
100775350	5ss	838
100776976	3ss	838
100777174	5ss	467
100777646	3ss	166
100778775	3ss	467
100778875	5ss	508
100778996	3ss	508
100779082	5ss	613
100779198	5ss	11
10077971	3ss	262
10078023	5ss	219
100780282	3ss	613
100780365	5ss	506
100780686	3ss	506
100784183	3ss	31
100784284	5ss	35
100789003	3ss	11
100789184	5ss	31
100790910	3ss	31
100792225	3ss	35
100792335	5ss	39
100796704	5ss	10
100797798	5ss	111
100799875	3ss	111
100800053	5ss	205
100800658	3ss	205
100800766	5ss	426
1008012	3ss	116
100802340	3ss	426
100802477	5ss	274
100803800	3ss	274
100803887	3ss	39
100803991	5ss	24
100806934	3ss	24
100807063	5ss	30
100807233	3ss	15
100807346	5ss	10
100809541	3ss	10
100809594	5ss	12
10080963	3ss	219
10081041	5ss	306
100812515	3ss	30
100812615	5ss	40
1008135	5ss	70
10081405	3ss	306
100814490	3ss	40
100814599	5ss	13
10081529	5ss	176
100819188	3ss	13
100819222	5ss	339
100819266	5ss	30
100820648	3ss	30
100820687	5ss	26
100821603	3ss	10
100821758	5ss	13
100823064	3ss	339
100823279	5ss	384
100829768	3ss	13
100830614	3ss	26
100830676	5ss	11
100831116	5ss	18
100831640	3ss	18
100831646	3ss	11
100831720	5ss	29
100831810	5ss	13
100832149	3ss	13
100832350	5ss	29
100832415	3ss	29
100832499	5ss	27
10083307	3ss	176
100833140	3ss	27
100833198	5ss	29
100833522	3ss	29
100833710	5ss	19
10083394	5ss	166
100836060	3ss	19
100836206	5ss	10
100836402	3ss	29
100836507	5ss	12
100839200	3ss	384
100839299	5ss	485
100840475	3ss	485
100840629	5ss	271
10084243	3ss	166
100843098	3ss	271
100843177	5ss	18
100843364	5ss	343
10084347	5ss	168
100843906	3ss	12
100844065	5ss	39
100844597	3ss	10
100844880	5ss	25
100845128	3ss	343
100845190	3ss	39
100845334	5ss	18
100846788	3ss	18
100847168	5ss	30
10084734	3ss	168
100847425	3ss	25
100847546	3ss	30
100847552	5ss	15
100847702	5ss	13
100847767	3ss	15
100847966	5ss	27
10084834	5ss	147
100849718	3ss	13
100849780	5ss	23
10085168	3ss	147
10085276	5ss	78
10085513	3ss	78
10085548	5ss	83
100856288	3ss	18
100856380	5ss	29
100858244	3ss	23
100858323	5ss	13
100859444	3ss	13
100861004	3ss	27
100861122	5ss	17
100861498	5ss	334
100861586	3ss	12
100861717	5ss	13
100865679	3ss	17
100865885	3ss	334
100866055	5ss	889
100866758	3ss	889
100866837	5ss	929
100866954	3ss	929
100867123	5ss	933
100867218	3ss	933
100867837	5ss	606
100871708	5ss	12
100874004	3ss	12
100874174	5ss	29
100878266	5ss	103
100878776	3ss	53
100878804	3ss	50
100878883	5ss	114
100879148	3ss	114
100879208	5ss	115
100879470	3ss	115
100879540	5ss	105
100879824	3ss	105
100880517	3ss	29
10088264	3ss	83
100883925	5ss	11
10088407	5ss	92
100884594	3ss	44
100884760	5ss	13
100886281	3ss	575
100886415	5ss	1167
100887048	3ss	1167
100887180	5ss	468
100887646	3ss	11
100888096	3ss	13
100889778	3ss	29
100889857	5ss	11
100893631	3ss	13
10089601	3ss	92
10089735	5ss	133
100899353	3ss	62
100904556	3ss	393
100904921	5ss	1032
100905488	3ss	11
100905554	5ss	15
100908490	3ss	15
100908552	5ss	21
100909927	5ss	20
1009100	3ss	70
10091058	3ss	133
10091189	5ss	269
100914983	3ss	20
100915085	5ss	26
100920943	3ss	26
100920961	3ss	21
100921037	5ss	11
100921048	5ss	28
1009216	5ss	121
100925450	3ss	11
100925600	5ss	33
100926236	3ss	1019
100926376	5ss	274
100926388	5ss	264
100928207	3ss	28
100928437	5ss	11
100928668	3ss	551
100928801	5ss	657
100930285	3ss	33
100930290	3ss	624
100930388	5ss	524
100930726	3ss	524
100930825	5ss	321
1009328	3ss	121
100933512	3ss	11
100934450	3ss	321
100934505	5ss	12
100934596	5ss	566
10093752	5ss	340
1009397	5ss	124
10094071	3ss	269
10094181	5ss	169
100950007	5ss	24
100950331	3ss	12
100950461	5ss	27
100951829	5ss	55
10095230	5ss	26
100953714	3ss	33
100953765	3ss	55
100953857	5ss	23
100955178	3ss	23
100955252	5ss	16
100955663	3ss	566
100955776	5ss	411
100957029	3ss	411
100959446	3ss	16
100959514	5ss	28
100960374	3ss	24
100960486	5ss	18
100961558	3ss	18
100961605	5ss	21
100962087	3ss	28
100962162	5ss	15
100963641	3ss	21
100963763	5ss	28
1009642	3ss	453
100964485	3ss	28
100964818	5ss	11
100967563	5ss	90
100968125	3ss	13
1009683	3ss	124
100968719	5ss	10
1009817	5ss	65
100982815	3ss	15
100982925	5ss	26
1009836	5ss	373
100983807	3ss	11
100985514	3ss	69
100985634	5ss	88
100986152	3ss	88
100986227	5ss	64
100988653	3ss	82
100988700	5ss	107
10098915	3ss	26
10098985	5ss	37
100992207	3ss	27
100992377	5ss	22
100992411	3ss	26
100992513	5ss	19
100994160	3ss	107
100994328	5ss	252
100995405	3ss	22
100995416	3ss	252
100995531	5ss	388
100995545	5ss	24
100996157	3ss	24
101005778	3ss	388
101005919	5ss	385
101006471	5ss	95
101011522	3ss	385
101011585	5ss	431
10101175	3ss	37
101012227	3ss	431
101012365	5ss	124
10101565	5ss	15
101016053	3ss	124
101016160	5ss	146
101017340	3ss	146
10101978	3ss	169
101020726	3ss	19
101020828	5ss	18
10102087	5ss	130
10102584	3ss	15
10102660	5ss	21
10103835	3ss	130
10103895	5ss	124
10104015	3ss	21
10104171	5ss	42
10104364	3ss	42
10104475	5ss	20
10105416	3ss	20
10105476	3ss	124
1010548	3ss	65
10105510	5ss	11
10105595	5ss	72
10106040	3ss	72
10106113	5ss	168
101063258	3ss	95
101063380	5ss	186
10106413	3ss	168
10106559	5ss	179
10107078	3ss	179
10107178	5ss	171
10107548	3ss	171
10107663	5ss	198
101077887	3ss	18
101077985	5ss	28
10108893	3ss	198
10109001	5ss	256
101090717	5ss	56
101090965	3ss	97
101090971	3ss	89
101091068	5ss	272
101101506	3ss	28
101111325	5ss	11
101117269	3ss	56
101117412	5ss	47
101120592	3ss	47
101120732	5ss	64
101121984	3ss	64
101122153	5ss	41
101124174	3ss	41
101124273	5ss	45
101124712	3ss	45
101124759	5ss	57
101127552	3ss	11
101127635	5ss	17
101133632	3ss	17
101136812	3ss	57
101136975	5ss	71
101143251	5ss	44
101143420	3ss	44
101143518	5ss	55
10114555	3ss	256
10114665	5ss	410
101147577	3ss	71
101147760	5ss	40
101147909	3ss	40
101148058	5ss	52
10114937	3ss	410
101149912	3ss	55
101150033	5ss	34
101150063	3ss	52
101150164	5ss	39
10115046	5ss	210
101151194	3ss	39
101152371	3ss	34
101152632	5ss	51
10116214	3ss	210
101162937	5ss	252
10116357	5ss	388
101163575	3ss	252
101163644	5ss	404
101164052	3ss	404
101164144	5ss	419
101165522	3ss	419
101167821	5ss	25
101169642	3ss	51
101170247	5ss	25
101176363	3ss	272
101176424	5ss	298
101179535	5ss	60
101179929	3ss	25
101180006	5ss	52
101182352	3ss	52
101182965	3ss	60
101183091	5ss	65
101183174	3ss	298
101183330	5ss	180
101185393	3ss	65
101185483	5ss	87
101186040	3ss	87
101186183	5ss	52
101187279	3ss	180
101187377	5ss	207
101188052	3ss	52
101188260	5ss	90
101188528	3ss	25
101188619	3ss	207
101188771	5ss	119
101190437	3ss	119
101190520	5ss	171
101192452	3ss	171
101192504	5ss	227
101192816	3ss	90
101193472	5ss	131
101194389	3ss	227
101194424	5ss	261
101194733	3ss	131
101194796	5ss	165
101195273	3ss	165
101195403	5ss	293
101196607	3ss	261
101196657	5ss	185
10119765	3ss	357
101198379	3ss	293
101198520	5ss	351
10119881	5ss	392
101199068	3ss	185
101200486	3ss	351
10122784	3ss	423
10122912	5ss	261
10123030	3ss	261
10123148	5ss	208
101237567	5ss	11
101243384	3ss	11
101252999	5ss	13
101253119	3ss	13
10126252	3ss	11
10126410	5ss	12
10127496	3ss	208
10127606	5ss	239
101280847	5ss	101
101283614	3ss	101
10128818	3ss	239
10128948	5ss	299
101293123	5ss	310
101298634	3ss	244
101298686	3ss	66
101298795	5ss	11
101298848	5ss	500
10130133	3ss	299
10130226	5ss	252
101304281	3ss	486
101304284	3ss	14
101304327	3ss	11
101304355	5ss	563
10130512	3ss	252
10130634	5ss	279
10130824	3ss	12
10130875	5ss	16
101309059	3ss	563
101309114	5ss	540
101311471	3ss	540
10131976	3ss	279
10132069	5ss	134
10132086	3ss	340
10132135	3ss	16
10132272	5ss	209
101333229	5ss	11
