D3_pos	ss	D3_reads
100431988	5ss	149
100432487	3ss	434
100432713	5ss	675
100433368	3ss	149
100435718	5ss	49
100438394	5ss	11
100438819	3ss	675
100438902	5ss	707
100440527	3ss	16
100440625	5ss	51
100443765	3ss	10
100443892	5ss	17
100447556	3ss	707
100447702	5ss	710
10044988	3ss	97
10045135	5ss	90
100451352	3ss	710
100451516	5ss	899
100452000	5ss	22
100452242	3ss	22
100452376	5ss	36
100453328	3ss	36
100453459	5ss	13
100454490	3ss	13
100454629	3ss	17
100454798	5ss	51
100454863	5ss	30
100455420	3ss	899
100455548	5ss	125
100455560	5ss	425
100456457	3ss	51
100456564	5ss	64
100456672	3ss	64
100456783	5ss	47
100457507	3ss	47
100457664	5ss	49
100457772	3ss	49
100457854	5ss	43
100458760	3ss	33
100458884	5ss	57
100459014	3ss	67
100459093	3ss	84
100459206	5ss	42
100459297	5ss	129
100459359	3ss	42
100459533	5ss	67
100460303	3ss	67
100460449	5ss	83
100463341	3ss	83
100463677	3ss	550
100463775	5ss	647
100464817	3ss	116
100464971	5ss	113
100465228	5ss	281
100465483	3ss	281
100465610	5ss	104
100465730	3ss	104
100465855	5ss	203
100466117	3ss	203
100466488	5ss	256
100466993	3ss	647
100467992	3ss	256
100468085	5ss	219
100468196	3ss	219
100468365	5ss	366
100469165	3ss	366
100469343	5ss	303
100470246	3ss	303
100470366	5ss	241
100470794	3ss	241
100472590	3ss	126
100472712	5ss	124
100473333	5ss	287
100476921	3ss	124
100477089	5ss	154
100478906	3ss	287
100479034	5ss	310
100479280	3ss	310
100479426	5ss	307
100479642	3ss	30
100479674	3ss	307
100479862	5ss	253
100480858	3ss	154
100480976	5ss	64
100481691	3ss	222
100481860	5ss	331
100481989	3ss	331
100482173	5ss	365
100482361	3ss	365
100482459	5ss	517
100482544	3ss	517
100482661	5ss	372
100482834	3ss	219
100482837	3ss	153
100482991	5ss	233
100483238	3ss	64
100483322	3ss	233
100483371	5ss	120
100483383	5ss	220
100483484	3ss	220
100483562	5ss	339
100483868	3ss	339
100484056	5ss	413
100484416	3ss	413
100484589	5ss	317
100484668	3ss	317
100484821	5ss	482
100484941	3ss	482
100485134	5ss	353
100485324	3ss	353
100485480	5ss	122
100485675	3ss	122
100485764	5ss	430
100485878	3ss	430
100486004	5ss	402
100486095	3ss	402
100487942	3ss	120
100493827	3ss	31
100494030	5ss	12
100496127	5ss	1026
100503062	3ss	1026
100503249	5ss	809
100503872	5ss	174
100504531	3ss	809
100504674	5ss	716
10050865	3ss	90
10051042	5ss	70
100510800	3ss	716
100510907	5ss	691
100512392	3ss	691
100512508	5ss	682
100512808	3ss	682
100512947	5ss	727
100513915	3ss	12
100515465	3ss	174
100515560	5ss	231
100515890	3ss	727
100516040	5ss	738
10051640	3ss	70
10051686	5ss	64
100518224	3ss	738
100518381	5ss	875
100521722	3ss	875
100521890	5ss	679
100522764	3ss	679
100522871	5ss	1064
1005237	3ss	290
100523740	5ss	20
100524222	3ss	231
100524284	5ss	226
100525434	3ss	226
100525561	5ss	207
100527391	3ss	207
100527505	5ss	218
100527905	3ss	1064
100528117	5ss	539
100529923	3ss	539
100530134	5ss	788
100532300	3ss	788
100532397	5ss	783
100532489	3ss	783
100532610	5ss	710
10053288	3ss	64
100533127	3ss	20
100533533	3ss	218
100533751	5ss	255
10053378	5ss	67
100534029	3ss	255
100534070	3ss	710
100534142	5ss	123
100534297	5ss	709
100535170	3ss	123
100535241	5ss	110
100540131	3ss	709
100540255	5ss	697
100542218	3ss	697
100542388	5ss	859
100542721	3ss	110
100542833	5ss	143
100543834	3ss	859
100544007	3ss	143
100544104	5ss	141
100546052	3ss	141
100546215	5ss	266
100547559	3ss	266
100551024	3ss	11
100551192	5ss	65
100558563	5ss	12
100563818	3ss	65
100563995	5ss	78
100568881	5ss	13
1005742	5ss	46
100587886	3ss	13
100588012	5ss	10
100589718	3ss	10
1005898	5ss	299
100589876	3ss	78
100589939	5ss	63
10059170	3ss	67
10059240	5ss	61
100593044	3ss	63
100593108	5ss	31
100594697	5ss	117
100594856	3ss	31
100595085	5ss	67
100595900	3ss	67
100596021	5ss	83
10059727	3ss	61
100598718	3ss	117
100598835	5ss	121
100598871	5ss	43
100599056	3ss	83
100599116	5ss	88
100599454	3ss	121
10059949	5ss	75
100599522	5ss	111
100601441	3ss	111
100601564	5ss	158
100602242	3ss	88
100602305	5ss	96
100602438	3ss	43
100602484	5ss	49
100602575	3ss	49
100602641	5ss	42
100603851	3ss	158
100603915	3ss	96
100603981	5ss	88
100603986	5ss	103
100604073	3ss	103
100604077	3ss	88
100604129	5ss	137
100604139	5ss	85
100605205	3ss	42
100605267	5ss	29
100605738	3ss	29
100605807	5ss	59
100605964	3ss	45
100606006	3ss	14
100606034	3ss	137
100606070	5ss	35
100606132	5ss	205
100606228	3ss	205
100606306	5ss	170
100606408	3ss	35
100606575	5ss	39
100607517	3ss	85
100607583	5ss	94
100608073	3ss	94
100608130	5ss	73
100608693	3ss	39
100608765	5ss	55
100609625	3ss	55
100609699	5ss	48
100610038	3ss	73
100612193	3ss	170
100612364	5ss	168
100613450	3ss	48
100613786	3ss	168
100613882	5ss	33
100613924	5ss	193
100614181	3ss	33
100617564	3ss	193
1006258	3ss	46
1006352	5ss	99
100641074	3ss	12
100641169	5ss	23
100646034	5ss	2170
100646447	3ss	2170
100646552	5ss	5020
100646743	3ss	5020
100646810	5ss	2075
100650323	3ss	2075
100650445	5ss	2285
100650716	3ss	2285
1006528	3ss	40
100661174	5ss	99
100661570	5ss	23
1006617	5ss	69
100663295	5ss	19
100663307	5ss	172
1006645	3ss	299
100665836	3ss	23
100665897	5ss	29
100666924	3ss	191
100676721	3ss	122
100676925	5ss	189
10068157	5ss	84
10068310	5ss	23
1006847	5ss	279
100685281	3ss	189
100685438	5ss	229
100691809	3ss	229
100691953	5ss	185
10070309	3ss	107
10070405	5ss	234
100704822	3ss	185
100704971	5ss	156
100706210	3ss	156
100706260	5ss	161
100706431	5ss	182
100707200	3ss	182
100707316	5ss	139
100708267	3ss	139
100708392	5ss	187
100709336	3ss	187
100709512	5ss	165
100711581	3ss	165
100711703	5ss	173
100717303	3ss	173
100717416	5ss	145
100720400	3ss	145
100720532	5ss	133
100722979	3ss	133
100723097	5ss	179
100727944	3ss	179
100728044	5ss	206
100728641	3ss	161
100728803	5ss	427
100728852	5ss	62
100729403	3ss	206
100729469	5ss	181
100729589	3ss	181
100729684	5ss	147
100730285	3ss	29
100730287	3ss	62
100730356	5ss	31
100730449	5ss	72
100730593	3ss	72
100731165	3ss	147
100731284	5ss	215
100731976	5ss	144
100732080	3ss	144
100732180	5ss	139
100732306	3ss	215
100733275	5ss	11
100733708	3ss	139
100733851	5ss	147
100736113	3ss	147
100736236	5ss	121
100738950	3ss	121
100739008	5ss	114
10073912	3ss	75
100740380	3ss	114
100740521	5ss	149
100741035	3ss	427
100741095	5ss	406
100741155	3ss	149
100741279	5ss	185
100742814	3ss	185
100742827	3ss	406
100742872	5ss	172
100742985	5ss	433
100743755	3ss	433
10074516	3ss	234
100745891	5ss	81
10074656	5ss	229
100750784	3ss	172
100750878	5ss	153
100752655	3ss	153
100752759	5ss	156
100755214	5ss	10
100756913	3ss	81
100756959	3ss	156
100757062	5ss	119
100760838	3ss	119
100760960	5ss	123
10076153	3ss	229
10076220	5ss	213
10076379	3ss	213
100764095	3ss	10
100764142	5ss	25
100764247	3ss	25
100764315	5ss	15
10076482	5ss	237
100767246	3ss	123
100767435	5ss	182
10076857	3ss	237
10076917	5ss	264
100770525	5ss	392
100771674	3ss	392
100771945	5ss	486
100773553	3ss	182
100773671	5ss	108
100773702	3ss	486
100773935	5ss	493
100774703	3ss	108
100774754	5ss	95
100775156	3ss	493
100775350	5ss	692
100776976	3ss	692
100777174	5ss	807
100777646	3ss	95
100778775	3ss	807
100778875	5ss	591
100778996	3ss	591
100779002	3ss	11
100779082	5ss	634
100779198	5ss	12
10077971	3ss	264
10078023	5ss	261
100780282	3ss	634
100780365	5ss	655
100780686	3ss	655
100784183	3ss	31
100784284	5ss	25
100789003	3ss	12
100789184	5ss	34
100790910	3ss	34
100791259	5ss	10
100792225	3ss	25
100792335	5ss	38
100796543	3ss	10
100796704	5ss	13
100797798	5ss	126
100799875	3ss	126
100800053	5ss	327
100800658	3ss	327
100800766	5ss	375
1008012	3ss	69
100802340	3ss	375
100802477	5ss	361
100803800	3ss	361
100803887	3ss	38
100803991	5ss	36
100806934	3ss	36
100807063	5ss	41
100807233	3ss	15
100807346	5ss	29
100809541	3ss	29
100809594	5ss	29
10080963	3ss	261
10081041	5ss	328
100812515	3ss	41
100812615	5ss	39
1008135	5ss	56
10081405	3ss	328
100814490	3ss	39
100814599	5ss	29
10081529	5ss	297
100819188	3ss	29
100819222	5ss	240
100819266	5ss	35
100820648	3ss	35
100820687	5ss	29
100821603	3ss	13
100823064	3ss	240
100823279	5ss	285
100830031	5ss	11
100830614	3ss	29
100830676	5ss	14
100830679	3ss	11
100830762	5ss	10
100830941	3ss	10
100831116	5ss	18
100831640	3ss	18
100831646	3ss	14
100831720	5ss	31
100831810	5ss	10
100832149	3ss	10
100832350	5ss	12
100832415	3ss	31
100832499	5ss	14
10083307	3ss	297
100833140	3ss	14
100833198	5ss	15
100833522	3ss	12
100833710	5ss	11
10083394	5ss	256
100836060	3ss	11
100836402	3ss	15
100836507	5ss	11
100839200	3ss	285
100839299	5ss	293
100840475	3ss	293
100840629	5ss	302
10084243	3ss	256
100843098	3ss	302
100843177	5ss	10
100843364	5ss	353
10084347	5ss	242
100843906	3ss	11
100844065	5ss	10
100844880	5ss	14
100845128	3ss	353
100845190	3ss	10
100845334	5ss	31
100846788	3ss	31
100847168	5ss	33
10084734	3ss	242
100847425	3ss	14
100847546	3ss	33
100847702	5ss	18
10084834	5ss	238
100849718	3ss	18
100849780	5ss	19
10085168	3ss	238
10085276	5ss	191
10085513	3ss	191
10085548	5ss	175
100856288	3ss	10
100856380	5ss	10
100858244	3ss	19
100858323	5ss	28
100859444	3ss	28
100861122	5ss	10
100861498	5ss	448
100861586	3ss	29
100861717	5ss	22
100865679	3ss	10
100865885	3ss	448
100866055	5ss	786
100866484	5ss	13
100866758	3ss	786
100866837	5ss	779
100866954	3ss	779
100867123	5ss	764
100867218	3ss	764
100867837	5ss	880
100871532	3ss	13
100871708	5ss	13
100874004	3ss	13
100874174	5ss	10
100878266	5ss	114
100878776	3ss	78
100878804	3ss	36
100878883	5ss	123
100879148	3ss	123
100879208	5ss	119
100879470	3ss	119
100879540	5ss	124
100879824	3ss	124
100880517	3ss	10
10088264	3ss	175
100883925	5ss	11
10088407	5ss	150
100884594	3ss	74
100884760	5ss	17
100886281	3ss	823
100886415	5ss	963
100887048	3ss	963
100887180	5ss	577
100887646	3ss	11
100888096	3ss	22
100888132	5ss	21
100889778	3ss	10
100889857	5ss	12
100893631	3ss	12
10089601	3ss	150
10089735	5ss	190
100899353	3ss	70
100904556	3ss	495
100904921	5ss	775
100905488	3ss	12
100905554	5ss	24
100908490	3ss	24
100909849	3ss	21
100909927	5ss	20
1009100	3ss	56
10091058	3ss	190
10091189	5ss	261
100914983	3ss	20
100915085	5ss	39
10091982	5ss	11
100920943	3ss	39
100921037	5ss	35
100921048	5ss	13
1009216	5ss	98
100925450	3ss	35
100925600	5ss	35
100926236	3ss	753
100926376	5ss	379
100926388	5ss	414
100928207	3ss	13
100928437	5ss	24
100928668	3ss	815
100928801	5ss	742
100930285	3ss	33
100930290	3ss	709
100930388	5ss	674
100930726	3ss	674
100930825	5ss	555
1009328	3ss	98
100933512	3ss	24
100933650	5ss	13
100934450	3ss	555
100934505	5ss	10
100934596	5ss	547
10093752	5ss	231
1009397	5ss	66
10094071	3ss	261
10094181	5ss	254
100949848	3ss	13
100950007	5ss	15
100950331	3ss	10
10095044	3ss	11
100950461	5ss	13
100951829	5ss	60
10095230	5ss	21
100953714	3ss	35
100953765	3ss	60
100953857	5ss	53
100955178	3ss	53
100955252	5ss	49
100955663	3ss	547
100955776	5ss	633
100957029	3ss	633
100959446	3ss	49
100959514	5ss	51
100960374	3ss	15
100960486	5ss	14
100961558	3ss	14
100961605	5ss	11
100962087	3ss	51
100962162	5ss	39
100963641	3ss	11
100963763	5ss	15
1009642	3ss	279
100964485	3ss	15
100967563	5ss	105
100968125	3ss	17
1009683	3ss	66
1009817	5ss	73
100982815	3ss	39
100982925	5ss	32
1009836	5ss	323
100985514	3ss	34
100985634	5ss	141
100986152	3ss	128
100986227	5ss	100
100988653	3ss	167
100988700	5ss	203
10098915	3ss	21
10098985	5ss	25
100992207	3ss	13
100992377	5ss	14
100992411	3ss	32
100992513	5ss	36
100994160	3ss	203
100994328	5ss	217
100995405	3ss	14
100995416	3ss	217
100995531	5ss	263
100995545	5ss	12
100996157	3ss	12
101005778	3ss	263
101005919	5ss	292
101006471	5ss	135
101011522	3ss	292
101011585	5ss	267
10101175	3ss	25
101012227	3ss	267
101012365	5ss	129
10101565	5ss	14
101016053	3ss	129
101016160	5ss	166
101017340	3ss	166
10101978	3ss	254
101020726	3ss	36
101020828	5ss	30
10102087	5ss	200
10102584	3ss	14
10102660	5ss	15
10103835	3ss	200
10103895	5ss	182
10104015	3ss	15
10104171	5ss	32
10104364	3ss	32
10104475	5ss	23
10105416	3ss	23
10105476	3ss	182
1010548	3ss	73
10105510	5ss	15
10105595	5ss	125
10106040	3ss	125
10106113	5ss	196
101063258	3ss	135
101063380	5ss	219
10106413	3ss	196
10106559	5ss	262
10107078	3ss	262
10107178	5ss	247
10107548	3ss	247
10107663	5ss	246
101077887	3ss	30
101077985	5ss	46
10108893	3ss	246
10109001	5ss	281
101090717	5ss	64
101090965	3ss	124
101090971	3ss	95
101091068	5ss	246
101101506	3ss	46
101101559	5ss	23
101111325	5ss	13
101117269	3ss	64
101117412	5ss	65
101120592	3ss	65
101120732	5ss	50
101121984	3ss	50
101122153	5ss	54
101124174	3ss	54
101124273	5ss	46
101124712	3ss	46
101124759	5ss	56
101127552	3ss	13
101127635	5ss	13
101133632	3ss	13
101133883	5ss	10
101136812	3ss	56
101136975	5ss	52
101143251	5ss	47
101143420	3ss	47
101143518	5ss	44
10114555	3ss	281
10114665	5ss	272
101147577	3ss	52
101147760	5ss	48
101147909	3ss	48
101148058	5ss	62
10114937	3ss	272
101149912	3ss	44
101150033	5ss	48
101150063	3ss	62
101150164	5ss	61
10115046	5ss	217
101151194	3ss	61
101152371	3ss	48
101152632	5ss	44
10116214	3ss	217
101162937	5ss	173
10116357	5ss	275
101163575	3ss	173
101163644	5ss	370
101164052	3ss	370
101164144	5ss	409
101165522	3ss	409
101167681	3ss	23
101167821	5ss	21
101169642	3ss	44
101170247	5ss	26
101176363	3ss	246
101176424	5ss	254
101179535	5ss	56
101179929	3ss	21
101180006	5ss	19
101182352	3ss	19
101182965	3ss	56
101183091	5ss	74
101183174	3ss	254
101183330	5ss	211
101185393	3ss	74
101185483	5ss	92
101186040	3ss	92
101186183	5ss	47
101187279	3ss	211
101187377	5ss	165
101188052	3ss	47
101188260	5ss	80
101188528	3ss	26
101188619	3ss	165
101188771	5ss	174
101190437	3ss	174
101190520	5ss	216
101192452	3ss	216
101192504	5ss	280
101192816	3ss	80
101193472	5ss	145
101194389	3ss	280
101194424	5ss	305
101194733	3ss	145
101194796	5ss	185
101195273	3ss	185
101195403	5ss	242
101196607	3ss	305
101196657	5ss	235
10119765	3ss	262
101198379	3ss	242
101198520	5ss	334
10119881	5ss	332
101199068	3ss	235
101200486	3ss	334
10122784	3ss	345
10122912	5ss	321
10123030	3ss	321
10123148	5ss	219
10126252	3ss	15
10126410	5ss	10
10127496	3ss	219
10127606	5ss	326
101280847	5ss	144
101283614	3ss	144
10128818	3ss	326
10128948	5ss	292
101293123	5ss	278
101295424	3ss	10
101298634	3ss	188
101298686	3ss	90
101298848	5ss	709
10130133	3ss	292
10130226	5ss	317
101304281	3ss	684
101304284	3ss	25
101304355	5ss	759
10130512	3ss	317
10130634	5ss	328
10130824	3ss	10
10130875	5ss	10
101309059	3ss	759
101309114	5ss	598
101311471	3ss	598
10131976	3ss	328
10132069	5ss	181
10132086	3ss	231
10132135	3ss	10
10132272	5ss	279
101333229	5ss	20
101336155	3ss	20
101336313	5ss	18
10133865	3ss	181
10133936	5ss	196
10134969	3ss	196
10135007	5ss	249
10135973	3ss	249
10136047	5ss	303
10136098	5ss	22
101361898	5ss	230
101362126	3ss	230
101362227	5ss	217
10136444	3ss	22
101365084	3ss	18
101365184	5ss	10
