pUC57_pos	ss	pUC57_reads
100201582	3ss	10
100201600	5ss	26
100201840	5ss	33
100202714	3ss	33
100202838	5ss	15
100203299	3ss	15
100203435	5ss	25
100203940	3ss	26
100204039	3ss	25
100204253	5ss	53
100204421	3ss	379
100204580	5ss	426
100205075	3ss	53
100205104	3ss	16
100205146	5ss	32
100205260	3ss	32
100205285	5ss	13
100205430	5ss	38
100205560	3ss	38
100206558	3ss	426
100206709	5ss	422
100207790	3ss	422
100207901	5ss	495
100210619	5ss	36
100210817	3ss	36
100210892	5ss	46
100211100	3ss	46
100211329	5ss	60
100211528	3ss	83
100211617	3ss	495
100211659	5ss	133
100211725	3ss	30
100211772	5ss	29
100211788	5ss	298
100211862	5ss	28
100212490	3ss	60
100212654	5ss	49
100212775	3ss	49
100214598	3ss	161
100214817	5ss	143
100214945	3ss	298
100215604	3ss	143
100215663	5ss	93
100223046	5ss	46
100227124	3ss	46
100227310	5ss	15
10022835	3ss	108
10022934	5ss	71
100230446	3ss	93
100230633	5ss	132
100232840	3ss	15
100232951	5ss	27
100234575	3ss	27
100234777	5ss	54
100235774	3ss	54
100235908	5ss	50
100237665	3ss	50
10023770	3ss	43
100237751	5ss	43
100238306	3ss	14
100238452	5ss	10
10023969	5ss	82
100240721	3ss	43
100240855	5ss	32
100243110	3ss	32
100243220	5ss	42
100245131	3ss	42
100245633	5ss	33
100246934	3ss	132
100247060	5ss	110
100249454	3ss	33
100249614	5ss	46
10025042	3ss	82
100250839	3ss	110
100250965	5ss	121
10025191	5ss	17
100252595	3ss	121
100257945	3ss	46
10026222	3ss	17
10026345	5ss	28
100271546	5ss	61
100273800	3ss	61
100273945	5ss	247
100274053	3ss	25
100274158	3ss	247
100274196	5ss	243
100274245	5ss	41
100274316	3ss	243
100274422	5ss	276
100274975	3ss	276
100275038	5ss	284
100275121	3ss	284
100275283	5ss	409
100275375	3ss	409
100275441	5ss	443
100275604	3ss	41
100275721	3ss	443
100275816	5ss	10
100275922	5ss	706
100276021	3ss	706
100276237	5ss	516
100276318	3ss	516
100277249	3ss	10
100277433	5ss	14
100286426	3ss	13
100286560	5ss	14
100287309	3ss	14
100287482	5ss	16
100287666	3ss	14
100287811	5ss	25
100295769	3ss	25
10029589	5ss	10
10030038	3ss	28
100303927	5ss	832
10030396	3ss	10
100304444	3ss	832
10030860	5ss	25
100315971	5ss	11
100316531	3ss	11
100316680	5ss	59
100317372	5ss	38
100318616	5ss	16
100319181	3ss	16
100319326	5ss	30
100319585	3ss	30
100319671	5ss	19
100320287	3ss	19
100320466	5ss	41
100320601	3ss	41
10032076	3ss	21
10032246	5ss	84
10032311	3ss	25
10032537	5ss	25
100327059	3ss	59
100327269	5ss	53
100327813	3ss	53
100327979	5ss	77
100329942	3ss	77
100330145	5ss	62
100331851	3ss	38
100331983	5ss	21
100335956	3ss	62
100336137	5ss	81
100336314	3ss	81
100336425	5ss	130
10033760	3ss	25
10033923	5ss	29
100340243	3ss	130
100340366	5ss	128
100340710	3ss	128
100340812	5ss	80
100340914	3ss	80
100341011	5ss	67
100342014	3ss	67
100342153	5ss	115
100343197	3ss	115
100343384	5ss	57
100344822	3ss	21
100344956	5ss	34
100345479	3ss	57
100345602	5ss	75
100346188	3ss	75
100346351	5ss	28
100346632	3ss	28
100346733	5ss	57
100346848	3ss	57
100347003	5ss	46
100347097	3ss	46
100347247	5ss	85
100349676	3ss	85
100349800	5ss	107
100349895	3ss	107
100350007	5ss	55
100350125	3ss	55
100350259	5ss	47
10035110	3ss	29
10035247	5ss	43
100353237	5ss	28
100353433	3ss	28
100353528	5ss	54
100353534	3ss	47
100353664	5ss	66
100356047	3ss	54
100356285	5ss	71
10035650	3ss	84
100356776	3ss	66
100356912	5ss	65
100357162	3ss	65
100357263	3ss	71
100357295	5ss	46
100357400	5ss	96
100357536	3ss	34
100357564	5ss	25
100357988	3ss	46
100358163	5ss	95
10035833	5ss	62
100360966	3ss	25
100361095	5ss	20
10036150	3ss	43
100361842	3ss	95
100361944	5ss	83
100363482	3ss	20
100363631	5ss	27
100364462	3ss	96
100364570	3ss	27
100364580	5ss	59
100364639	5ss	17
100364880	3ss	59
100364987	5ss	72
100366192	3ss	83
100366417	5ss	70
100367266	3ss	17
100368239	3ss	70
100368350	5ss	99
1003722	3ss	35
1003728	3ss	347
100374070	5ss	24
100375391	3ss	72
100375439	5ss	67
100375682	3ss	24
100375727	3ss	67
100375773	5ss	50
100375816	5ss	49
100376268	3ss	99
100376403	5ss	61
100376579	3ss	49
100376678	5ss	42
100377759	3ss	42
100377913	5ss	19
100377961	3ss	61
100378073	5ss	65
100379083	3ss	65
100379294	5ss	49
1003801	5ss	222
1003804	5ss	121
100380516	3ss	19
100380641	5ss	13
100380903	3ss	13
100380945	3ss	49
100381034	5ss	19
100381042	5ss	52
100381698	3ss	50
100381787	5ss	64
100381966	3ss	52
100382053	5ss	93
100382127	3ss	64
100382154	3ss	93
100382255	5ss	141
100382287	5ss	85
100382487	3ss	141
100382654	5ss	55
100383705	3ss	55
100383825	5ss	78
100384119	3ss	19
100384186	5ss	31
100384971	3ss	78
100385062	5ss	74
100387090	3ss	85
100387126	3ss	31
100387179	3ss	74
100387214	5ss	24
100387296	5ss	101
100387381	3ss	101
100387445	5ss	36
100395655	3ss	36
100395749	5ss	55
100396197	5ss	50
100396436	3ss	16
100396545	5ss	24
100400053	3ss	55
100400188	5ss	67
100401142	3ss	67
100401266	5ss	104
100402366	3ss	24
100402463	5ss	13
100402584	3ss	13
100402671	5ss	33
100402752	3ss	104
100402800	5ss	92
100402932	3ss	92
100403076	3ss	50
100403150	5ss	90
100403164	5ss	114
100403785	3ss	24
100403844	3ss	114
100403944	5ss	172
100404154	3ss	33
100404249	5ss	28
100405486	3ss	172
100405534	3ss	28
100405642	5ss	184
100405664	5ss	26
100406324	3ss	26
100407399	3ss	184
100407506	5ss	131
100407893	3ss	131
100408014	5ss	198
100409774	3ss	198
100409843	5ss	136
100410290	3ss	136
100410505	5ss	112
10041089	3ss	62
10041228	5ss	56
100412785	3ss	112
100412882	5ss	165
100413592	3ss	165
100413655	5ss	182
100416080	3ss	182
100416190	5ss	124
100416517	3ss	90
100416558	5ss	109
100417162	3ss	124
100417226	5ss	77
100417822	3ss	109
100417984	3ss	77
100418046	5ss	135
100418293	3ss	135
100418367	5ss	181
100420922	3ss	181
100421025	5ss	154
100423228	3ss	154
100423350	5ss	125
10042359	3ss	56
100424324	3ss	125
100424426	5ss	94
100425236	3ss	94
100425264	5ss	18
100425329	5ss	108
100426622	3ss	108
100426725	5ss	162
100428275	5ss	18
100428565	5ss	269
100429045	3ss	162
100429159	5ss	304
100431128	3ss	304
100431256	5ss	264
100431875	3ss	264
100431988	5ss	139
100432487	3ss	287
100432713	5ss	870
100433368	3ss	139
100435718	5ss	107
100438394	5ss	19
100438819	3ss	870
100438902	5ss	824
100440527	3ss	26
100440625	5ss	32
100447556	3ss	824
100447702	5ss	446
10044988	3ss	71
10045135	5ss	54
100451352	3ss	446
100451516	5ss	1217
100452000	5ss	14
100452242	3ss	14
100452376	5ss	34
100453328	3ss	34
100453459	5ss	11
100454490	3ss	11
100454798	5ss	41
100454863	5ss	21
100455420	3ss	1217
100455548	5ss	109
100455560	5ss	329
100456457	3ss	41
100456564	5ss	66
100456672	3ss	66
100456783	5ss	36
100457507	3ss	36
100457664	5ss	43
100457772	3ss	43
100457854	5ss	37
100458760	3ss	37
100458884	5ss	64
100459014	3ss	64
100459093	3ss	113
100459206	5ss	27
100459297	5ss	94
100459359	3ss	27
100459533	5ss	30
100460303	3ss	30
100460449	5ss	66
100463341	3ss	66
100463677	3ss	438
100463775	5ss	575
100464817	3ss	84
100464971	5ss	102
100465228	5ss	337
100465483	3ss	337
100465610	5ss	116
100465730	3ss	116
100465855	5ss	277
100466117	3ss	277
100466488	5ss	236
100466993	3ss	575
100467992	3ss	236
100468085	5ss	214
100468196	3ss	214
100468365	5ss	302
100469165	3ss	302
100469343	5ss	202
100470246	3ss	202
100470366	5ss	183
100470794	3ss	183
100472590	3ss	112
100472712	5ss	110
100473333	5ss	437
100476921	3ss	110
100477089	5ss	189
100478906	3ss	437
100479034	5ss	248
100479280	3ss	248
100479426	5ss	305
100479642	3ss	21
100479674	3ss	305
100479862	5ss	167
100480858	3ss	189
100480976	5ss	74
100481691	3ss	167
100481860	5ss	359
100481989	3ss	359
100482173	5ss	542
100482361	3ss	542
100482459	5ss	688
100482544	3ss	688
100482661	5ss	321
100482834	3ss	193
100482837	3ss	128
100482991	5ss	206
100483238	3ss	60
100483322	3ss	206
100483371	5ss	139
100483383	5ss	175
100483484	3ss	175
100483562	5ss	313
100483868	3ss	313
100484056	5ss	459
100484416	3ss	459
100484589	5ss	377
100484668	3ss	377
100484821	5ss	425
100484941	3ss	425
100485134	5ss	427
100485324	3ss	427
100485480	5ss	162
100485675	3ss	162
100485764	5ss	445
100485878	3ss	445
100486004	5ss	376
100486095	3ss	376
100487942	3ss	153
100496127	5ss	1373
100503062	3ss	1373
100503249	5ss	847
100503872	5ss	206
100504531	3ss	847
100504674	5ss	706
10050865	3ss	54
10051042	5ss	74
100510800	3ss	706
100510907	5ss	780
100511115	3ss	18
100511303	5ss	14
100512392	3ss	780
100512508	5ss	617
100512808	3ss	617
100512947	5ss	988
100515178	5ss	10
100515245	3ss	14
100515346	5ss	14
100515465	3ss	206
100515560	5ss	208
100515890	3ss	988
100516040	5ss	612
10051640	3ss	74
10051686	5ss	105
100517072	3ss	14
100518224	3ss	612
100518381	5ss	953
100519365	3ss	10
100519431	5ss	15
100521722	3ss	953
100521890	5ss	622
100522764	3ss	622
100522871	5ss	919
100523316	5ss	11
100523332	3ss	15
1005237	3ss	222
100523740	5ss	12
100524222	3ss	208
100524284	5ss	162
100525434	3ss	162
100525561	5ss	139
100527391	3ss	139
100527505	5ss	281
100527905	3ss	919
100528117	5ss	1109
100529923	3ss	1109
100530134	5ss	722
100532300	3ss	722
100532397	5ss	660
100532489	3ss	660
100532610	5ss	519
10053288	3ss	105
100533127	3ss	12
100533533	3ss	281
100533751	5ss	290
10053378	5ss	60
100534029	3ss	290
100534070	3ss	519
100534142	5ss	124
100534297	5ss	608
100535170	3ss	124
100535241	5ss	100
100540131	3ss	608
100540255	5ss	568
100542218	3ss	568
100542388	5ss	704
100542721	3ss	100
100542833	5ss	115
100543572	3ss	11
100543691	5ss	10
100543834	3ss	704
100544007	3ss	115
100544104	5ss	173
100544697	3ss	10
100546052	3ss	173
100546215	5ss	393
100547559	3ss	393
100551024	3ss	19
100551192	5ss	69
100558563	5ss	17
100563818	3ss	69
100563995	5ss	54
100568881	5ss	22
100587886	3ss	22
1005898	5ss	398
100589876	3ss	54
100589939	5ss	69
10059170	3ss	60
10059240	5ss	65
100593044	3ss	69
100593108	5ss	56
100594697	5ss	117
100594856	3ss	56
100595085	5ss	54
100595900	3ss	54
100596021	5ss	79
10059727	3ss	65
100598718	3ss	117
100598835	5ss	122
100598871	5ss	37
100599056	3ss	79
100599116	5ss	98
100599454	3ss	122
10059949	5ss	62
100599522	5ss	136
100601441	3ss	136
100601564	5ss	158
100602242	3ss	98
100602305	5ss	119
100602438	3ss	37
100602484	5ss	52
100602575	3ss	52
100602641	5ss	50
100603851	3ss	158
100603915	3ss	119
100603981	5ss	137
100603986	5ss	134
100604073	3ss	134
100604077	3ss	137
100604129	5ss	153
100604139	5ss	54
100605205	3ss	50
100605267	5ss	41
100605738	3ss	41
100605807	5ss	51
100605964	3ss	51
100606034	3ss	153
100606070	5ss	11
100606132	5ss	298
100606228	3ss	298
100606306	5ss	233
100606408	3ss	11
100606575	5ss	31
100607517	3ss	54
100607583	5ss	82
100608073	3ss	82
100608130	5ss	76
100608693	3ss	31
100608765	5ss	47
100609625	3ss	47
100609699	5ss	21
100610038	3ss	76
100612193	3ss	233
100612364	5ss	132
100613450	3ss	21
100613786	3ss	132
100613882	5ss	39
100613924	5ss	218
100614181	3ss	39
100617564	3ss	218
1006352	5ss	66
100635393	5ss	10
100637200	3ss	10
100641074	3ss	17
100641169	5ss	32
100646034	5ss	2590
100646447	3ss	2590
100646552	5ss	5454
100646743	3ss	5454
100646810	5ss	2737
100650323	3ss	2737
100650445	5ss	4070
100650716	3ss	4070
1006528	3ss	121
100654726	5ss	13
100661174	5ss	74
1006617	5ss	104
100663295	5ss	10
100663307	5ss	179
1006645	3ss	398
100665836	3ss	32
100665897	5ss	33
100666924	3ss	189
100673582	3ss	13
100676721	3ss	74
100676925	5ss	193
10068157	5ss	104
10068310	5ss	35
1006847	5ss	333
100685281	3ss	193
100685438	5ss	290
100691809	3ss	290
100691953	5ss	208
10070309	3ss	139
10070405	5ss	228
100704822	3ss	208
100704971	5ss	183
100706210	3ss	183
100706260	5ss	218
100706431	5ss	165
100707200	3ss	165
100707316	5ss	97
100708267	3ss	97
100708392	5ss	171
100709336	3ss	171
100709512	5ss	180
100711581	3ss	180
100711703	5ss	222
100712160	5ss	20
100717303	3ss	222
100717416	5ss	92
100720400	3ss	92
100720532	5ss	134
100722979	3ss	134
100723097	5ss	231
100727944	3ss	231
100728044	5ss	211
100728641	3ss	218
100728803	5ss	662
100728852	5ss	44
100729399	3ss	20
100729403	3ss	211
100729469	5ss	277
100729589	3ss	277
100729601	5ss	10
100729684	5ss	196
100730285	3ss	33
100730287	3ss	44
100730356	5ss	27
100730449	5ss	50
100730593	3ss	50
100731165	3ss	196
100731284	5ss	250
100731976	5ss	167
100732080	3ss	167
100732180	5ss	186
100732306	3ss	250
100732573	3ss	10
100733708	3ss	186
100733851	5ss	122
100736113	3ss	122
100736236	5ss	145
100738950	3ss	145
100739008	5ss	144
10073912	3ss	62
100740380	3ss	144
100740521	5ss	234
100741035	3ss	662
100741095	5ss	762
100741155	3ss	234
100741279	5ss	199
100742814	3ss	199
100742827	3ss	762
100742872	5ss	208
100742985	5ss	358
100743755	3ss	358
10074516	3ss	228
100745891	5ss	50
10074656	5ss	234
100750784	3ss	208
100750878	5ss	253
100752655	3ss	253
100752759	5ss	300
100755214	5ss	12
100756913	3ss	50
100756959	3ss	300
100757062	5ss	74
100760838	3ss	74
100760960	5ss	117
10076153	3ss	234
10076220	5ss	225
10076379	3ss	225
100764095	3ss	12
100764142	5ss	11
100764247	3ss	11
100764315	5ss	14
10076482	5ss	258
100767246	3ss	117
100767435	5ss	168
10076857	3ss	258
10076917	5ss	283
100770525	5ss	330
100771674	3ss	330
100771945	5ss	366
100773553	3ss	168
100773671	5ss	113
100773702	3ss	366
100773935	5ss	396
100774703	3ss	113
100774754	5ss	117
100775156	3ss	396
100775350	5ss	810
100776976	3ss	810
100777174	5ss	452
100777646	3ss	117
100778775	3ss	452
100778875	5ss	485
100778996	3ss	485
100779082	5ss	642
100779198	5ss	23
10077971	3ss	283
10078023	5ss	262
100780282	3ss	642
100780365	5ss	469
100780686	3ss	469
100784183	3ss	27
100784284	5ss	29
100789003	3ss	23
100789184	5ss	33
100790910	3ss	33
100791259	5ss	10
100792225	3ss	29
100792335	5ss	31
100796543	3ss	10
100797798	5ss	137
100799875	3ss	137
100800053	5ss	299
100800658	3ss	299
100800766	5ss	528
1008012	3ss	104
100802340	3ss	528
100802477	5ss	320
100803800	3ss	320
100803887	3ss	31
100803991	5ss	29
100806934	3ss	29
100807063	5ss	33
100807233	3ss	14
100807346	5ss	28
100809541	3ss	28
100809594	5ss	33
10080963	3ss	262
10081041	5ss	332
100812515	3ss	33
100812615	5ss	46
1008135	5ss	67
10081405	3ss	332
100814490	3ss	46
100814599	5ss	32
10081529	5ss	218
100819188	3ss	32
100819222	5ss	341
100819266	5ss	29
100820648	3ss	29
100820687	5ss	17
100823064	3ss	341
100823279	5ss	334
100830614	3ss	17
100830676	5ss	36
100830762	5ss	11
100830941	3ss	11
100831116	5ss	26
100831640	3ss	26
100831646	3ss	36
100831720	5ss	44
100831810	5ss	24
100832149	3ss	24
100832350	5ss	20
100832415	3ss	44
100832499	5ss	46
10083307	3ss	218
100833140	3ss	46
100833198	5ss	52
100833522	3ss	20
100833710	5ss	14
10083394	5ss	177
100836060	3ss	14
100836402	3ss	52
100839200	3ss	334
100839299	5ss	511
100840475	3ss	511
100840629	5ss	244
10084243	3ss	177
100843098	3ss	244
100843177	5ss	11
100843364	5ss	300
10084347	5ss	191
100844065	5ss	36
100844880	5ss	23
100845128	3ss	300
100845190	3ss	36
100845334	5ss	49
100846788	3ss	49
100847168	5ss	41
10084734	3ss	191
100847425	3ss	23
100847546	3ss	41
100847552	5ss	13
100847702	5ss	29
100847767	3ss	13
100847966	5ss	16
10084834	5ss	183
100849718	3ss	29
100849780	5ss	28
10085168	3ss	183
10085276	5ss	155
10085513	3ss	155
10085548	5ss	140
100856288	3ss	11
100856380	5ss	21
100858244	3ss	28
100858323	5ss	25
100859444	3ss	25
100861004	3ss	16
100861122	5ss	12
100861498	5ss	305
100861586	3ss	33
100861717	5ss	32
100865679	3ss	12
100865885	3ss	305
100866055	5ss	1009
100866484	5ss	11
100866758	3ss	1009
100866837	5ss	1080
100866954	3ss	1080
100867123	5ss	853
100867218	3ss	853
100867837	5ss	834
100871532	3ss	11
100874174	5ss	16
100878266	5ss	103
100878776	3ss	64
100878804	3ss	39
100878883	5ss	123
100879148	3ss	123
100879208	5ss	125
100879470	3ss	125
100879540	5ss	85
100879824	3ss	85
100880517	3ss	16
10088264	3ss	140
10088407	5ss	110
100884594	3ss	45
100884760	5ss	25
100886281	3ss	814
100886415	5ss	1447
100887048	3ss	1447
100887180	5ss	596
100888096	3ss	32
100888132	5ss	29
100889778	3ss	21
100893631	3ss	14
10089601	3ss	110
10089735	5ss	157
100899353	3ss	86
100904556	3ss	485
100904921	5ss	1221
100908552	5ss	14
100909849	3ss	29
100909927	5ss	12
1009100	3ss	67
10091058	3ss	157
10091189	5ss	294
100914983	3ss	12
100915085	5ss	39
100920943	3ss	39
100920961	3ss	14
100921037	5ss	17
100921048	5ss	21
1009216	5ss	142
100925450	3ss	17
100925600	5ss	19
100926236	3ss	1232
100926376	5ss	339
100926388	5ss	389
100928207	3ss	21
100928437	5ss	14
100928668	3ss	728
100928801	5ss	853
100930285	3ss	28
100930290	3ss	825
100930388	5ss	665
100930726	3ss	665
100930825	5ss	433
1009328	3ss	142
100933512	3ss	14
100934450	3ss	433
100934505	5ss	10
100934596	5ss	715
10093752	5ss	301
1009397	5ss	141
10094071	3ss	294
10094181	5ss	190
100950007	5ss	28
100950331	3ss	10
100950461	5ss	19
100951829	5ss	56
10095230	5ss	32
100953714	3ss	19
100953765	3ss	56
100955252	5ss	13
100955663	3ss	715
100955776	5ss	531
100957029	3ss	531
100959446	3ss	13
100959514	5ss	14
100960374	3ss	28
100960486	5ss	17
100961558	3ss	17
100961605	5ss	15
100962087	3ss	14
100962162	5ss	21
100963641	3ss	15
100963763	5ss	25
1009642	3ss	333
100964485	3ss	25
100967563	5ss	113
100968125	3ss	19
1009683	3ss	141
1009817	5ss	57
100982815	3ss	21
100982925	5ss	23
1009836	5ss	310
100985514	3ss	61
100985634	5ss	122
100986152	3ss	122
100986227	5ss	69
100988653	3ss	102
100988700	5ss	125
10098915	3ss	32
10098985	5ss	20
100992207	3ss	19
100992377	5ss	20
100992411	3ss	23
100992513	5ss	27
100994160	3ss	125
100994328	5ss	299
100995405	3ss	20
100995416	3ss	299
100995531	5ss	406
100995545	5ss	14
100996157	3ss	14
101005778	3ss	406
101005919	5ss	402
101006471	5ss	109
101011522	3ss	402
101011585	5ss	454
10101175	3ss	20
101012227	3ss	454
101012365	5ss	138
10101565	5ss	16
101016053	3ss	138
101016160	5ss	174
101017340	3ss	174
10101978	3ss	190
101020726	3ss	27
101020828	5ss	32
10102087	5ss	145
10102584	3ss	16
10102660	5ss	14
10103835	3ss	145
10103895	5ss	141
10104015	3ss	14
10104171	5ss	37
10104364	3ss	37
10104475	5ss	27
10105416	3ss	27
10105476	3ss	141
1010548	3ss	57
10105510	5ss	10
10105595	5ss	91
10106040	3ss	91
10106113	5ss	207
101063258	3ss	109
101063380	5ss	229
10106413	3ss	207
10106559	5ss	225
10107078	3ss	225
10107178	5ss	191
10107548	3ss	191
10107663	5ss	265
101077887	3ss	32
101077985	5ss	12
10108893	3ss	265
10109001	5ss	333
101090717	5ss	75
101090965	3ss	127
101090971	3ss	102
101091068	5ss	303
101101506	3ss	12
101101559	5ss	11
101111325	5ss	12
101117269	3ss	75
101117412	5ss	42
101120592	3ss	42
101120732	5ss	50
101121984	3ss	50
101122153	5ss	68
101124174	3ss	68
101124273	5ss	59
101124712	3ss	59
101124759	5ss	58
101127552	3ss	12
101127635	5ss	15
101133632	3ss	15
101133883	5ss	10
101136812	3ss	58
101136975	5ss	56
101143251	5ss	40
101143420	3ss	40
101143518	5ss	55
10114555	3ss	333
10114665	5ss	425
101147577	3ss	56
101147760	5ss	33
101147909	3ss	33
101148058	5ss	40
10114937	3ss	425
101149912	3ss	55
101150033	5ss	40
101150063	3ss	40
101150164	5ss	41
10115046	5ss	207
101151194	3ss	41
101152371	3ss	40
101152632	5ss	36
10116214	3ss	207
101162937	5ss	291
10116357	5ss	356
101163575	3ss	291
101163644	5ss	503
101164052	3ss	503
101164144	5ss	468
101165522	3ss	468
101167681	3ss	11
101167821	5ss	13
101169642	3ss	36
101170247	5ss	39
101176363	3ss	303
101176424	5ss	344
101179535	5ss	108
101179929	3ss	13
101180006	5ss	31
101182352	3ss	31
101182965	3ss	108
101183091	5ss	85
101183174	3ss	344
101183330	5ss	187
101185393	3ss	85
101185483	5ss	85
101186040	3ss	85
101186183	5ss	51
101187279	3ss	187
101187377	5ss	206
101188052	3ss	51
101188260	5ss	90
101188528	3ss	39
101188619	3ss	206
101188771	5ss	144
101190437	3ss	144
101190520	5ss	168
101192452	3ss	168
101192504	5ss	245
101192816	3ss	90
101193472	5ss	159
101194389	3ss	245
101194424	5ss	259
101194733	3ss	159
101194796	5ss	162
101195273	3ss	162
101195403	5ss	253
101196607	3ss	259
101196657	5ss	192
10119765	3ss	330
101198379	3ss	253
101198520	5ss	306
10119881	5ss	421
101199068	3ss	192
101200486	3ss	306
10122784	3ss	447
10122912	5ss	287
10123030	3ss	287
10123148	5ss	219
101237567	5ss	11
101243384	3ss	11
10126252	3ss	10
10127496	3ss	219
10127606	5ss	280
101280847	5ss	135
101283614	3ss	135
10128818	3ss	280
10128948	5ss	343
101293123	5ss	437
101295424	3ss	10
101298634	3ss	371
101298686	3ss	66
101298848	5ss	604
10130133	3ss	343
10130226	5ss	308
101304281	3ss	594
101304284	3ss	10
101304355	5ss	637
10130512	3ss	308
10130634	5ss	245
10130875	5ss	23
101309059	3ss	637
101309114	5ss	641
101311471	3ss	641
10131976	3ss	245
10132069	5ss	115
10132086	3ss	301
10132135	3ss	23
10132272	5ss	259
101333229	5ss	12
10133372	5ss	15
101336155	3ss	12
10133865	3ss	115
10133936	5ss	280
10134969	3ss	280
10135007	5ss	341
10135973	3ss	341
10136007	3ss	15
10136047	5ss	287
10136098	5ss	27
101361898	5ss	253
101362126	3ss	253
101362227	5ss	149
10136444	3ss	27
10136529	5ss	26
10136884	3ss	287
10136958	5ss	317
101372408	3ss	149
101372521	5ss	130
101376619	3ss	130
101376706	5ss	110
101377668	3ss	110
101377794	5ss	152
101379219	3ss	152
