A2_pos	ss	A2_reads
100215604	3ss	103
100215663	5ss	54
100222460	3ss	12
100223046	5ss	32
100227124	3ss	32
10022835	3ss	91
10022934	5ss	54
100230446	3ss	54
100230633	5ss	129
100234777	5ss	19
100235774	3ss	19
100235908	5ss	16
100237665	3ss	16
10023770	3ss	32
100237751	5ss	33
100238306	3ss	15
100238452	5ss	12
10023969	5ss	47
100240721	3ss	33
100240855	5ss	26
100243110	3ss	26
100243220	5ss	22
100245131	3ss	22
100245633	5ss	24
100246934	3ss	129
100247060	5ss	111
100249454	3ss	24
100249614	5ss	45
10025042	3ss	47
100250839	3ss	111
100250965	5ss	112
10025191	5ss	10
100252595	3ss	112
100257945	3ss	45
10026222	3ss	10
100271546	5ss	76
100273800	3ss	76
100273945	5ss	220
100274053	3ss	12
100274158	3ss	220
100274196	5ss	210
100274245	5ss	26
100274316	3ss	210
100274422	5ss	276
100274975	3ss	276
100275038	5ss	269
100275121	3ss	269
100275283	5ss	324
100275375	3ss	324
100275441	5ss	415
100275604	3ss	26
100275721	3ss	415
100275922	5ss	521
100276021	3ss	521
100276237	5ss	507
100276318	3ss	507
100277433	5ss	21
100286426	3ss	16
100287482	5ss	23
100287666	3ss	21
100303927	5ss	760
100304444	3ss	760
10030860	5ss	18
100316680	5ss	52
100317372	5ss	21
100319326	5ss	19
100319585	3ss	19
100320466	5ss	25
100320601	3ss	25
10032076	3ss	16
10032246	5ss	91
10032311	3ss	18
10032537	5ss	35
100327059	3ss	52
100327269	5ss	34
100327813	3ss	34
100327979	5ss	59
100329942	3ss	59
100330145	5ss	48
100331851	3ss	21
100331983	5ss	12
100335956	3ss	48
100336137	5ss	61
100336314	3ss	61
100336425	5ss	104
10033760	3ss	35
10033923	5ss	43
100340243	3ss	104
100340366	5ss	111
100340710	3ss	111
100340812	5ss	55
100340914	3ss	55
100341011	5ss	39
100342014	3ss	39
100342153	5ss	119
100343197	3ss	119
100343384	5ss	34
100344822	3ss	12
100344956	5ss	27
100345479	3ss	34
100345602	5ss	55
100346188	3ss	55
100346351	5ss	33
100346632	3ss	33
100346733	5ss	49
100346848	3ss	49
100347003	5ss	41
100347097	3ss	41
100347247	5ss	57
100349676	3ss	57
100349800	5ss	84
100349895	3ss	84
100350007	5ss	43
100350125	3ss	43
100350259	5ss	43
10035110	3ss	43
10035247	5ss	38
100353237	5ss	13
100353433	3ss	13
100353528	5ss	76
100353534	3ss	43
100353664	5ss	49
100354798	3ss	20
100355054	5ss	10
100356047	3ss	66
100356285	5ss	54
10035650	3ss	91
100356776	3ss	49
100356912	5ss	51
100357162	3ss	51
100357263	3ss	54
100357295	5ss	55
100357400	5ss	80
100357536	3ss	27
100357564	5ss	14
100357988	3ss	55
100358163	5ss	70
10035833	5ss	51
100360966	3ss	14
100361095	5ss	28
10036150	3ss	38
100361842	3ss	70
100361944	5ss	57
100363482	3ss	28
100364462	3ss	80
100364580	5ss	42
100364639	5ss	13
100364880	3ss	42
100364987	5ss	54
100366192	3ss	57
100366417	5ss	51
100367266	3ss	13
100367376	5ss	11
100368239	3ss	51
100368350	5ss	97
1003722	3ss	46
1003728	3ss	386
100373975	3ss	11
100374070	5ss	10
100375391	3ss	54
100375439	5ss	52
100375682	3ss	10
100375727	3ss	52
100375773	5ss	43
100375816	5ss	38
100376268	3ss	97
100376403	5ss	49
100376579	3ss	38
100376678	5ss	36
100377759	3ss	36
100377913	5ss	15
100377961	3ss	49
100378073	5ss	52
100379083	3ss	52
100379294	5ss	29
1003801	5ss	206
1003804	5ss	100
100380516	3ss	15
100380945	3ss	29
100381042	5ss	37
100381698	3ss	43
100381787	5ss	51
100381966	3ss	37
100382053	5ss	93
100382127	3ss	51
100382154	3ss	93
100382255	5ss	100
100382287	5ss	86
100382487	3ss	100
100382654	5ss	61
100383705	3ss	61
100383825	5ss	59
100384186	5ss	14
100384971	3ss	59
100385062	5ss	69
100387090	3ss	86
100387126	3ss	14
100387179	3ss	69
100387214	5ss	21
100387296	5ss	71
100387381	3ss	71
100387445	5ss	20
100395655	3ss	20
100395749	5ss	51
100396197	5ss	47
100396436	3ss	23
100396545	5ss	18
100400053	3ss	51
100400188	5ss	46
100401142	3ss	46
100401266	5ss	86
100402366	3ss	21
100402463	5ss	13
100402584	3ss	13
100402671	5ss	15
100402752	3ss	86
100402800	5ss	68
100402932	3ss	68
100403076	3ss	47
100403150	5ss	62
100403164	5ss	77
100403785	3ss	18
100403844	3ss	77
100403932	5ss	13
100403944	5ss	133
100404154	3ss	15
100404249	5ss	22
100405486	3ss	133
100405534	3ss	22
100405642	5ss	139
100405664	5ss	13
100406324	3ss	13
100407399	3ss	139
100407506	5ss	109
100407893	3ss	109
100408014	5ss	205
100409774	3ss	205
100409843	5ss	122
100410290	3ss	122
100410505	5ss	96
10041089	3ss	51
10041228	5ss	31
100412785	3ss	96
100412882	5ss	169
100413592	3ss	169
100413655	5ss	182
100416080	3ss	182
100416190	5ss	80
100416517	3ss	62
100416558	5ss	88
100417162	3ss	80
100417226	5ss	36
100417822	3ss	88
100417984	3ss	36
100418046	5ss	80
100418293	3ss	80
100418367	5ss	132
100420922	3ss	132
100421025	5ss	106
100423228	3ss	106
100423350	5ss	74
10042359	3ss	31
100424324	3ss	74
100424426	5ss	44
100425236	3ss	44
100425264	5ss	15
100425329	5ss	69
100426622	3ss	69
100426725	5ss	144
100428275	5ss	13
100428565	5ss	179
100429045	3ss	144
100429159	5ss	309
100431128	3ss	309
100431256	5ss	244
100431875	3ss	244
100431988	5ss	101
100432487	3ss	192
100432713	5ss	696
100433368	3ss	101
100435718	5ss	90
100438819	3ss	696
100438902	5ss	711
100440527	3ss	30
100440625	5ss	30
100443765	3ss	13
100447556	3ss	711
100447702	5ss	343
10044988	3ss	54
10045135	5ss	47
100451352	3ss	343
100451516	5ss	1303
100452000	5ss	12
100452242	3ss	12
100452376	5ss	35
100453328	3ss	35
100453459	5ss	16
100454490	3ss	16
100454798	5ss	23
100454863	5ss	11
100455420	3ss	1303
100455548	5ss	87
100455560	5ss	235
100456457	3ss	23
100456564	5ss	45
100456672	3ss	45
100456783	5ss	25
100457507	3ss	25
100457664	5ss	36
100457772	3ss	36
100457854	5ss	35
100458760	3ss	35
100458884	5ss	49
100459014	3ss	49
100459093	3ss	90
100459206	5ss	17
100459297	5ss	82
100459359	3ss	17
100459533	5ss	41
100460303	3ss	41
100460449	5ss	83
100463341	3ss	83
100463677	3ss	322
100463775	5ss	587
100464817	3ss	82
100464971	5ss	67
100465228	5ss	349
100465483	3ss	349
100465610	5ss	112
100465730	3ss	112
100465855	5ss	244
100466117	3ss	244
100466488	5ss	246
100466993	3ss	587
100467992	3ss	246
100468085	5ss	181
100468196	3ss	181
100468365	5ss	269
100469165	3ss	269
100469343	5ss	149
100470246	3ss	149
100470366	5ss	190
100470794	3ss	190
100472590	3ss	67
100472712	5ss	91
100473333	5ss	451
100476921	3ss	91
100477089	5ss	173
100478906	3ss	451
100479034	5ss	242
100479280	3ss	242
100479426	5ss	261
100479642	3ss	11
100479674	3ss	261
100479862	5ss	164
100480386	3ss	17
100480711	5ss	14
100480858	3ss	173
100480976	5ss	54
100481691	3ss	161
100481860	5ss	374
100481989	3ss	374
100482173	5ss	506
100482361	3ss	506
100482459	5ss	664
100482544	3ss	664
100482661	5ss	318
100482834	3ss	187
100482837	3ss	131
100482991	5ss	173
100483238	3ss	54
100483322	3ss	173
100483371	5ss	85
100483383	5ss	149
100483484	3ss	149
100483562	5ss	330
100483868	3ss	330
100484056	5ss	418
100484416	3ss	418
100484589	5ss	419
100484668	3ss	419
100484821	5ss	423
100484941	3ss	423
100485134	5ss	375
100485324	3ss	375
100485480	5ss	162
100485675	3ss	162
100485764	5ss	392
100485878	3ss	392
100486004	5ss	329
100486095	3ss	329
100487942	3ss	85
100496127	5ss	1065
100503062	3ss	1065
100503249	5ss	769
100503872	5ss	151
100504531	3ss	769
100504674	5ss	612
10050865	3ss	47
10051042	5ss	62
100510800	3ss	602
100510907	5ss	575
100511115	3ss	15
100512392	3ss	585
100512508	5ss	437
100512808	3ss	437
100512947	5ss	827
100515178	5ss	12
100515346	5ss	10
100515465	3ss	151
100515560	5ss	171
100515890	3ss	827
100516040	5ss	507
10051640	3ss	62
10051686	5ss	81
100517072	3ss	10
100518224	3ss	507
100518381	5ss	764
100519365	3ss	12
100521722	3ss	764
100521890	5ss	514
100522764	3ss	514
100522871	5ss	818
100523316	5ss	12
1005237	3ss	206
100524222	3ss	171
100524284	5ss	126
100525434	3ss	126
100525561	5ss	91
100527391	3ss	91
100527505	5ss	233
100527905	3ss	818
100528117	5ss	1007
100529923	3ss	1007
100530134	5ss	459
100532300	3ss	459
100532397	5ss	414
100532489	3ss	414
100532610	5ss	415
10053288	3ss	81
100533533	3ss	233
100533751	5ss	232
10053378	5ss	52
100534029	3ss	232
100534070	3ss	415
100534142	5ss	115
100534297	5ss	431
100535170	3ss	115
100535241	5ss	64
100540131	3ss	431
100540255	5ss	452
100542218	3ss	452
100542388	5ss	659
100542721	3ss	64
100542833	5ss	77
100543572	3ss	12
100543834	3ss	659
100544007	3ss	77
100544104	5ss	190
100546052	3ss	190
100546215	5ss	351
100547559	3ss	351
100551192	5ss	41
100563818	3ss	41
100563995	5ss	76
100568881	5ss	16
1005742	5ss	25
100587886	3ss	16
1005898	5ss	434
100589876	3ss	76
100589939	5ss	72
10059170	3ss	52
10059240	5ss	51
100593044	3ss	72
100593108	5ss	69
100594697	5ss	55
100594856	3ss	69
100595085	5ss	37
100595900	3ss	37
100596021	5ss	65
10059727	3ss	51
100598718	3ss	55
100598835	5ss	71
100598871	5ss	18
100599056	3ss	65
100599116	5ss	87
100599454	3ss	71
10059949	5ss	57
100599522	5ss	116
100601441	3ss	116
100601564	5ss	142
100602242	3ss	87
100602305	5ss	129
100602438	3ss	18
100602484	5ss	29
100602575	3ss	29
100602641	5ss	41
100603851	3ss	142
100603915	3ss	129
100603981	5ss	130
100603986	5ss	127
100604073	3ss	127
100604077	3ss	130
100604129	5ss	112
100604139	5ss	41
100605205	3ss	41
100605267	5ss	37
100605738	3ss	37
100605807	5ss	40
100605964	3ss	28
100606006	3ss	12
100606034	3ss	112
100606132	5ss	228
100606228	3ss	228
100606306	5ss	180
100606575	5ss	26
100607517	3ss	41
100607583	5ss	54
100608073	3ss	54
100608130	5ss	60
100608693	3ss	26
100608765	5ss	39
100609625	3ss	39
100609699	5ss	12
100610038	3ss	60
100612193	3ss	180
100612364	5ss	115
100613450	3ss	12
100613786	3ss	115
100613882	5ss	33
100613924	5ss	131
100614181	3ss	33
100617564	3ss	131
1006258	3ss	25
1006352	5ss	88
100641169	5ss	21
100646034	5ss	1513
100646223	5ss	11
100646447	3ss	1524
100646552	5ss	3962
100646743	3ss	3962
100646810	5ss	2236
100650323	3ss	2236
100650445	5ss	4028
100650716	3ss	4028
1006528	3ss	100
100654726	5ss	10
100657303	5ss	12
100657332	3ss	12
100661174	5ss	45
1006617	5ss	88
100663295	5ss	23
100663307	5ss	138
1006645	3ss	434
100665836	3ss	21
100665897	5ss	26
100666924	3ss	161
100673582	3ss	10
100676721	3ss	45
100676925	5ss	147
10068157	5ss	67
10068310	5ss	28
1006847	5ss	356
100685281	3ss	147
100685438	5ss	214
100691809	3ss	214
100691953	5ss	158
10070309	3ss	95
10070405	5ss	156
100704822	3ss	158
100704971	5ss	148
100706210	3ss	148
100706260	5ss	150
100706431	5ss	117
100707200	3ss	117
100707316	5ss	62
100708267	3ss	62
100708392	5ss	146
100709336	3ss	146
100709512	5ss	212
100711581	3ss	212
100711703	5ss	238
100717303	3ss	238
100717416	5ss	104
100720400	3ss	104
100720532	5ss	143
100722979	3ss	143
100723097	5ss	224
100727944	3ss	224
100728044	5ss	221
100728641	3ss	150
100728803	5ss	569
100728852	5ss	39
100729403	3ss	221
100729469	5ss	272
100729589	3ss	272
100729684	5ss	227
100730285	3ss	26
100730287	3ss	39
100730356	5ss	23
100730449	5ss	62
100730593	3ss	62
100731165	3ss	227
100731284	5ss	217
100731976	5ss	142
100732080	3ss	142
100732180	5ss	165
100732306	3ss	217
100733275	5ss	10
100733708	3ss	165
100733851	5ss	99
100736113	3ss	99
100736236	5ss	111
100738950	3ss	111
100739008	5ss	104
10073912	3ss	57
100740380	3ss	104
100740521	5ss	204
100741035	3ss	569
100741095	5ss	631
100741155	3ss	204
100741279	5ss	145
100741479	5ss	10
100742814	3ss	145
100742827	3ss	631
100742872	5ss	174
100742985	5ss	304
100743755	3ss	304
10074516	3ss	156
100745891	5ss	17
10074656	5ss	178
100750784	3ss	174
100750878	5ss	238
100752655	3ss	238
100752759	5ss	246
100755137	3ss	10
100755214	5ss	18
100756913	3ss	17
100756959	3ss	246
100757062	5ss	70
100760838	3ss	70
100760960	5ss	187
10076153	3ss	178
10076220	5ss	174
10076379	3ss	174
100764095	3ss	18
100764142	5ss	18
100764247	3ss	18
100764315	5ss	25
10076482	5ss	227
100767246	3ss	187
100767435	5ss	238
10076857	3ss	227
10076917	5ss	255
100770525	5ss	348
100771674	3ss	348
100771945	5ss	355
100773553	3ss	238
100773671	5ss	162
100773702	3ss	355
100773935	5ss	389
100774703	3ss	162
100774754	5ss	153
100775156	3ss	389
100775350	5ss	862
100776976	3ss	862
100777174	5ss	392
100777646	3ss	153
100778775	3ss	392
100778875	5ss	480
100778996	3ss	480
100779002	3ss	10
100779082	5ss	587
100779198	5ss	11
10077971	3ss	255
10078023	5ss	213
100780282	3ss	587
100780365	5ss	436
100780686	3ss	436
100784183	3ss	23
100784284	5ss	35
100789003	3ss	11
100789184	5ss	15
100790910	3ss	15
100792225	3ss	35
100792335	5ss	26
100797798	5ss	102
100799875	3ss	102
100800053	5ss	245
100800658	3ss	245
100800766	5ss	440
1008012	3ss	88
100802340	3ss	440
100802477	5ss	295
100803800	3ss	295
100803887	3ss	26
100803991	5ss	15
100806934	3ss	15
100807063	5ss	37
100807233	3ss	25
100807346	5ss	12
100809541	3ss	12
100809594	5ss	15
10080963	3ss	213
10081041	5ss	262
100812515	3ss	37
100812615	5ss	28
1008135	5ss	57
10081405	3ss	262
100814490	3ss	28
100814599	5ss	11
10081529	5ss	171
100818559	5ss	10
100819188	3ss	11
100819222	5ss	305
100819266	5ss	10
100819318	3ss	10
100820648	3ss	10
100820687	5ss	11
100821758	5ss	10
100823064	3ss	305
100823279	5ss	325
100829768	3ss	10
100830614	3ss	11
100830676	5ss	21
100831116	5ss	13
100831640	3ss	13
100831646	3ss	21
100831720	5ss	39
100832350	5ss	19
100832415	3ss	39
100832499	5ss	34
10083307	3ss	171
100833140	3ss	34
100833198	5ss	25
100833522	3ss	19
100833710	5ss	14
10083394	5ss	133
100836060	3ss	14
100836402	3ss	25
100839200	3ss	325
100839299	5ss	507
100840475	3ss	507
100840629	5ss	205
10084243	3ss	133
100843098	3ss	205
100843177	5ss	14
100843364	5ss	323
10084347	5ss	162
100844065	5ss	21
100845128	3ss	323
100845190	3ss	21
100845334	5ss	30
100846788	3ss	30
100847168	5ss	27
10084734	3ss	162
100847546	3ss	27
100847702	5ss	24
100847966	5ss	29
10084834	5ss	130
100849718	3ss	24
100849780	5ss	33
10085168	3ss	130
10085276	5ss	116
10085513	3ss	116
10085548	5ss	115
100856288	3ss	14
100856380	5ss	29
100858244	3ss	33
100858323	5ss	11
100859444	3ss	11
100861004	3ss	29
100861122	5ss	36
100861498	5ss	312
100861586	3ss	15
100861717	5ss	14
100865679	3ss	36
100865885	3ss	312
100866055	5ss	821
100866484	5ss	22
100866758	3ss	821
100866837	5ss	955
100866954	3ss	955
100867123	5ss	923
100867218	3ss	923
100867837	5ss	649
100871532	3ss	22
100871708	5ss	13
100874004	3ss	13
100874174	5ss	15
100878266	5ss	104
100878776	3ss	64
100878804	3ss	40
100878883	5ss	118
100879148	3ss	118
100879208	5ss	115
100879470	3ss	115
100879540	5ss	101
100879824	3ss	101
100880517	3ss	15
10088264	3ss	115
100883925	5ss	13
10088407	5ss	78
100884594	3ss	36
100884760	5ss	16
100886281	3ss	629
100886415	5ss	1254
100887048	3ss	1254
100887180	5ss	433
100887646	3ss	13
100888096	3ss	14
100888132	5ss	10
100889778	3ss	29
100893631	3ss	11
10089601	3ss	78
10089735	5ss	116
100899353	3ss	56
100904556	3ss	366
100904921	5ss	1140
100908552	5ss	16
100909849	3ss	10
1009100	3ss	57
10091058	3ss	116
10091189	5ss	215
100915085	5ss	20
100920943	3ss	20
100920961	3ss	16
100921037	5ss	12
100921048	5ss	22
1009216	5ss	134
100925450	3ss	12
100925600	5ss	16
100926236	3ss	1130
100926376	5ss	247
100926388	5ss	285
100928207	3ss	22
100928437	5ss	14
100928668	3ss	542
100928801	5ss	598
100930285	3ss	27
100930290	3ss	571
100930388	5ss	487
100930726	3ss	487
100930825	5ss	315
1009328	3ss	134
100933512	3ss	14
100934450	3ss	315
100934505	5ss	12
100934596	5ss	515
10093752	5ss	331
1009397	5ss	131
10094071	3ss	215
10094181	5ss	149
100950007	5ss	25
100950331	3ss	12
100950461	5ss	22
100951829	5ss	55
10095230	5ss	28
100953714	3ss	16
100953765	3ss	55
100955252	5ss	16
100955663	3ss	515
100955776	5ss	430
100957029	3ss	430
100959446	3ss	16
100959514	5ss	19
100960374	3ss	25
100962087	3ss	19
100962162	5ss	17
100963763	5ss	21
1009642	3ss	356
100964485	3ss	21
100964818	5ss	10
100967563	5ss	72
100968125	3ss	11
1009683	3ss	131
1009817	5ss	76
100982815	3ss	17
100982925	5ss	26
1009836	5ss	321
100983807	3ss	10
100985514	3ss	47
100985634	5ss	91
100986152	3ss	91
100986227	5ss	64
100988653	3ss	78
100988700	5ss	103
10098915	3ss	28
10098985	5ss	35
100992207	3ss	22
100992377	5ss	25
100992411	3ss	26
100992513	5ss	20
100994160	3ss	103
100994328	5ss	219
100995405	3ss	25
100995416	3ss	219
100995531	5ss	442
100995545	5ss	11
100996157	3ss	11
101005778	3ss	442
101005919	5ss	400
101006471	5ss	132
101011522	3ss	400
101011585	5ss	409
10101175	3ss	35
101012227	3ss	409
101012365	5ss	102
101016053	3ss	102
101016160	5ss	159
101017340	3ss	159
10101978	3ss	149
101020726	3ss	20
101020828	5ss	12
10102087	5ss	134
10103835	3ss	134
10103895	5ss	155
10104171	5ss	27
10104364	3ss	27
10104475	5ss	18
10105416	3ss	18
10105476	3ss	155
1010548	3ss	76
10105510	5ss	12
10105595	5ss	78
10106040	3ss	78
10106113	5ss	190
101063258	3ss	132
101063380	5ss	222
10106413	3ss	190
10106559	5ss	189
10107078	3ss	189
10107178	5ss	135
10107548	3ss	135
10107663	5ss	162
101077887	3ss	12
101077985	5ss	25
10108893	3ss	162
10109001	5ss	249
101090717	5ss	57
101090965	3ss	120
101090971	3ss	102
101091068	5ss	327
101101506	3ss	25
101117269	3ss	57
101117412	5ss	47
101120592	3ss	47
101120732	5ss	59
101121984	3ss	59
101122153	5ss	51
101124174	3ss	51
101124273	5ss	40
101124712	3ss	40
101124759	5ss	53
101136812	3ss	53
101136975	5ss	70
101143251	5ss	37
101143420	3ss	37
101143518	5ss	58
10114555	3ss	249
10114665	5ss	380
101147577	3ss	70
101147760	5ss	32
101147909	3ss	32
101148058	5ss	56
10114937	3ss	380
101149912	3ss	58
101150033	5ss	29
101150063	3ss	56
101150164	5ss	53
10115046	5ss	202
101151194	3ss	53
101152371	3ss	29
101152632	5ss	30
10116214	3ss	202
101162937	5ss	190
10116357	5ss	381
101163575	3ss	190
101163644	5ss	322
101164052	3ss	322
101164144	5ss	473
101165522	3ss	473
101167821	5ss	21
101169642	3ss	30
101170247	5ss	28
101176363	3ss	327
101176424	5ss	366
101179535	5ss	92
101179929	3ss	21
101180006	5ss	32
101182352	3ss	32
101182965	3ss	92
101183091	5ss	72
101183174	3ss	366
101183330	5ss	196
101185393	3ss	72
101185483	5ss	71
101186040	3ss	71
101186183	5ss	31
101187279	3ss	196
101187377	5ss	254
101188052	3ss	31
101188260	5ss	76
101188528	3ss	28
101188619	3ss	254
101188771	5ss	155
101190437	3ss	155
101190520	5ss	176
101192452	3ss	176
101192504	5ss	235
101192816	3ss	76
101193472	5ss	124
101194389	3ss	235
101194424	5ss	249
101194733	3ss	124
101194796	5ss	133
101195273	3ss	133
101195403	5ss	212
101196607	3ss	249
101196657	5ss	165
10119765	3ss	350
101198379	3ss	212
101198520	5ss	432
10119881	5ss	369
101199068	3ss	165
101199152	5ss	58
101200486	3ss	432
101200651	3ss	58
10122784	3ss	400
10122912	5ss	238
10123030	3ss	238
10123148	5ss	228
101237567	5ss	12
101243384	3ss	12
101251632	5ss	11
101252631	3ss	11
101252999	5ss	10
101253119	3ss	10
10126252	3ss	12
10126410	5ss	20
10127496	3ss	228
10127606	5ss	258
101280847	5ss	90
101283614	3ss	90
10128818	3ss	258
10128948	5ss	298
101293123	5ss	418
101298634	3ss	354
101298686	3ss	64
101298848	5ss	494
10130133	3ss	298
10130226	5ss	249
101304281	3ss	479
101304284	3ss	15
101304355	5ss	590
10130512	3ss	249
10130634	5ss	216
10130824	3ss	20
10130875	5ss	20
101309059	3ss	590
101309114	5ss	572
101311471	3ss	572
10131976	3ss	216
10132069	5ss	128
10132086	3ss	331
10132135	3ss	20
10132272	5ss	192
10132274	5ss	27
101333229	5ss	19
10133335	3ss	27
10133372	5ss	25
101336155	3ss	19
101336313	5ss	14
10133865	3ss	128
10133936	5ss	271
10134969	3ss	271
10135007	5ss	307
10135973	3ss	307
10136007	3ss	25
10136047	5ss	234
10136098	5ss	23
101361898	5ss	250
101362126	3ss	250
101362227	5ss	124
10136444	3ss	23
101365084	3ss	14
10136529	5ss	20
10136884	3ss	234
10136958	5ss	289
101372408	3ss	124
101372521	5ss	88
101376619	3ss	88
101376706	5ss	74
101377668	3ss	74
101377794	5ss	142
101379219	3ss	142
101379362	5ss	210
10138010	3ss	289
101381448	5ss	11
10138156	5ss	221
101383633	3ss	210
101383683	5ss	73
101387262	3ss	73
101387397	5ss	149
10139093	3ss	20
10139157	5ss	16
10140404	3ss	221
10140499	5ss	203
10140721	3ss	16
101413812	3ss	11
101413918	5ss	11
101419345	5ss	91
101419619	3ss	91
101419721	5ss	54
101421203	3ss	54
101421385	5ss	71
101427384	3ss	149
101427474	5ss	65
10142872	3ss	203
101430873	3ss	11
101430928	5ss	15
101431325	3ss	65
101431474	5ss	103
101433733	3ss	15
101436876	5ss	12
101437413	5ss	19
101439018	3ss	71
101439223	5ss	106
101439482	3ss	106
101439632	5ss	47
101440366	3ss	103
101440458	5ss	28
101440775	3ss	28
101442119	3ss	19
101442179	5ss	21
101445549	3ss	47
101445580	5ss	15
