C2_pos	ss	C2_reads
100132923	3ss	13
100133198	3ss	52
100133322	5ss	55
100133405	3ss	11
100136930	5ss	15
100137190	5ss	538
100137736	3ss	15
100138635	3ss	26
100138716	5ss	53
100146445	3ss	538
100146538	5ss	538
100146955	5ss	24
100147243	3ss	24
100147365	5ss	11
100147824	3ss	11
100147961	5ss	29
100148019	3ss	538
100148134	5ss	874
100148541	3ss	57
100148729	5ss	50
100148893	3ss	29
100150970	3ss	874
100151123	5ss	1314
100151716	3ss	1314
100151881	5ss	697
100152232	3ss	55
100152346	5ss	21
100152486	3ss	21
100152745	5ss	13
100153233	3ss	697
100153358	5ss	643
100154031	5ss	359
100154217	3ss	86
100154249	5ss	85
100154331	3ss	13
100155393	5ss	11
100155428	5ss	13
100159575	3ss	13
10015981	5ss	33
100159882	3ss	642
10015994	3ss	77
100160002	5ss	437
100160069	3ss	11
100160217	3ss	437
100160305	5ss	445
100160486	3ss	429
100160507	3ss	16
100160569	5ss	694
100161457	3ss	694
10016147	5ss	109
100161585	5ss	673
100161841	3ss	673
100161926	5ss	943
100162555	3ss	943
100168971	5ss	25
100169868	3ss	359
100169935	5ss	584
100170563	3ss	50
100170793	5ss	80
100172290	3ss	584
100172383	5ss	547
100173183	3ss	53
100173378	5ss	90
100174621	3ss	80
100181721	3ss	547
100181848	5ss	475
100182267	3ss	25
100182391	5ss	12
100185766	3ss	90
100185969	5ss	95
100188862	3ss	475
100188991	5ss	632
10018906	3ss	33
100189993	3ss	632
100190117	5ss	800
100190954	5ss	52
100191700	3ss	800
100191811	5ss	641
10019295	5ss	33
100192968	3ss	641
100193047	5ss	896
100193215	3ss	52
100193356	5ss	50
100193813	3ss	896
100193921	5ss	732
100194307	3ss	50
100194520	5ss	37
100196117	3ss	732
100196249	5ss	512
100199239	3ss	512
100199358	5ss	314
100200174	5ss	40
100201053	3ss	40
100201161	5ss	26
100201419	3ss	314
100201476	5ss	376
100201527	3ss	37
100201582	3ss	26
100201600	5ss	41
100201840	5ss	28
100202714	3ss	28
100202838	5ss	25
100203299	3ss	25
100203435	5ss	35
100203940	3ss	41
100204039	3ss	35
100204157	5ss	10
100204253	5ss	26
100204421	3ss	376
100204580	5ss	446
100205075	3ss	26
100205104	3ss	12
100205146	5ss	27
100205260	3ss	27
100205285	5ss	11
100205430	5ss	42
100205560	3ss	42
100206558	3ss	446
100206709	5ss	473
100207790	3ss	473
100207901	5ss	558
100210619	5ss	19
100210817	3ss	19
100210892	5ss	33
100211100	3ss	33
100211329	5ss	87
100211528	3ss	75
100211617	3ss	558
100211659	5ss	87
100211725	3ss	20
100211772	5ss	33
100211788	5ss	321
100211862	5ss	14
100212490	3ss	87
100212654	5ss	53
100212775	3ss	53
100214598	3ss	101
100214817	5ss	129
100214945	3ss	321
100215604	3ss	129
100215663	5ss	78
100222460	3ss	10
100223046	5ss	46
100227124	3ss	46
100227310	5ss	11
10022835	3ss	109
10022934	5ss	68
100230446	3ss	78
100230633	5ss	142
100232840	3ss	11
100232951	5ss	26
100234575	3ss	26
100234777	5ss	45
100235774	3ss	45
100235908	5ss	39
100237665	3ss	39
10023770	3ss	33
100237751	5ss	29
100238306	3ss	19
100238452	5ss	12
10023969	5ss	84
100240721	3ss	29
100240855	5ss	25
100243110	3ss	25
100243220	5ss	43
100245131	3ss	43
100245633	5ss	38
100246934	3ss	142
100247060	5ss	115
100249454	3ss	38
100249614	5ss	32
10025042	3ss	84
100250839	3ss	115
100250965	5ss	122
10025191	5ss	13
100252595	3ss	122
100257945	3ss	32
100259880	5ss	16
10026222	3ss	13
100271546	5ss	49
100273800	3ss	49
100273945	5ss	208
100274053	3ss	26
100274158	3ss	208
100274196	5ss	190
100274245	5ss	46
100274316	3ss	190
100274422	5ss	293
100274975	3ss	293
100275038	5ss	319
100275121	3ss	319
100275283	5ss	406
100275375	3ss	406
100275441	5ss	441
100275604	3ss	46
100275721	3ss	441
100275816	5ss	18
100275922	5ss	636
100276021	3ss	636
100276237	5ss	458
100276318	3ss	458
100277249	3ss	18
100277433	5ss	23
100286426	3ss	11
100286560	5ss	10
100287309	3ss	10
100287482	5ss	16
100287666	3ss	23
100287811	5ss	10
100295769	3ss	10
100303927	5ss	736
100304444	3ss	736
10030860	5ss	30
100315971	5ss	21
100316531	3ss	21
100316680	5ss	58
100317190	3ss	16
100317372	5ss	41
100318616	5ss	10
100319181	3ss	10
100319326	5ss	13
100319585	3ss	13
100320466	5ss	33
100320601	3ss	33
10032076	3ss	25
10032246	5ss	79
10032311	3ss	30
10032537	5ss	29
100327059	3ss	58
100327269	5ss	45
100327813	3ss	45
100327979	5ss	47
100329942	3ss	47
100330145	5ss	56
100331851	3ss	41
100331983	5ss	11
100335956	3ss	56
100336137	5ss	56
100336314	3ss	56
100336425	5ss	92
10033760	3ss	29
10033923	5ss	37
100340243	3ss	92
100340366	5ss	101
100340710	3ss	101
100340812	5ss	57
100340914	3ss	57
100341011	5ss	59
100342014	3ss	59
100342153	5ss	130
100343197	3ss	130
100343384	5ss	46
100344822	3ss	11
100344956	5ss	16
100345479	3ss	46
100345602	5ss	72
100346188	3ss	72
100346351	5ss	38
100346632	3ss	38
100346733	5ss	45
100346848	3ss	45
100347003	5ss	36
100347097	3ss	36
100347247	5ss	77
100349676	3ss	77
100349800	5ss	110
100349895	3ss	110
100350007	5ss	35
100350125	3ss	35
100350259	5ss	53
10035110	3ss	37
10035247	5ss	32
100353223	5ss	13
100353237	5ss	17
100353433	3ss	30
100353528	5ss	83
100353534	3ss	53
100353664	5ss	21
100354798	3ss	10
100356047	3ss	73
100356285	5ss	65
10035650	3ss	79
100356776	3ss	21
100356912	5ss	45
100357162	3ss	45
100357263	3ss	65
100357295	5ss	67
100357400	5ss	81
100357536	3ss	16
100357564	5ss	18
100357988	3ss	67
100358163	5ss	77
10035833	5ss	40
100360966	3ss	18
100361095	5ss	18
10036150	3ss	32
100361842	3ss	77
100361944	5ss	72
100363482	3ss	18
100363631	5ss	21
100364462	3ss	81
100364570	3ss	21
100364580	5ss	54
100364639	5ss	25
100364880	3ss	54
100364987	5ss	65
100366192	3ss	72
100366417	5ss	93
100367266	3ss	25
100367376	5ss	11
100368239	3ss	93
100368350	5ss	104
1003722	3ss	36
1003728	3ss	306
100373975	3ss	11
100374070	5ss	10
100375391	3ss	65
100375439	5ss	48
100375682	3ss	10
100375727	3ss	48
100375773	5ss	30
100375816	5ss	41
100376268	3ss	104
100376403	5ss	47
100376579	3ss	41
100376678	5ss	32
100377759	3ss	32
100377913	5ss	13
100377961	3ss	47
100378073	5ss	73
100379083	3ss	73
100379294	5ss	33
1003801	5ss	209
1003804	5ss	106
100380516	3ss	13
100380641	5ss	10
100380903	3ss	10
100380945	3ss	33
100381042	5ss	39
100381698	3ss	30
100381787	5ss	42
100381966	3ss	39
100382053	5ss	83
100382127	3ss	42
100382154	3ss	83
100382255	5ss	88
100382287	5ss	102
100382487	3ss	88
100382654	5ss	57
100383705	3ss	57
100383825	5ss	86
100384186	5ss	32
100384971	3ss	86
100385062	5ss	69
100387090	3ss	102
100387126	3ss	32
100387179	3ss	69
100387214	5ss	43
100387296	5ss	84
100387381	3ss	84
100387445	5ss	46
100395655	3ss	46
100395749	5ss	51
100396197	5ss	64
100396436	3ss	16
100400053	3ss	51
100400188	5ss	62
100401142	3ss	62
100401266	5ss	75
100402366	3ss	43
100402463	5ss	23
100402584	3ss	23
100402671	5ss	32
100402752	3ss	75
100402800	5ss	68
100402932	3ss	68
100403076	3ss	64
100403150	5ss	107
100403164	5ss	102
100403844	3ss	102
100403944	5ss	176
100404154	3ss	32
100404249	5ss	24
100405486	3ss	176
100405534	3ss	24
100405642	5ss	201
100405664	5ss	27
100406324	3ss	27
100407399	3ss	201
100407506	5ss	123
100407893	3ss	123
100408014	5ss	199
100409774	3ss	199
100409843	5ss	138
100410290	3ss	138
100410505	5ss	111
10041089	3ss	40
10041228	5ss	45
100412785	3ss	111
100412882	5ss	196
100413592	3ss	196
100413655	5ss	195
100416080	3ss	195
100416190	5ss	112
100416517	3ss	96
100416558	5ss	112
100417162	3ss	112
100417226	5ss	75
100417822	3ss	123
100417984	3ss	75
100418046	5ss	112
100418293	3ss	112
100418367	5ss	146
100420922	3ss	146
100421025	5ss	141
100423228	3ss	141
100423350	5ss	112
10042359	3ss	45
100424324	3ss	112
100424426	5ss	93
100425236	3ss	93
100425329	5ss	107
100426622	3ss	107
100426725	5ss	152
100428275	5ss	11
100428565	5ss	239
100429045	3ss	152
100429159	5ss	272
100431128	3ss	272
100431256	5ss	227
100431875	3ss	227
100431988	5ss	114
100432487	3ss	250
100432713	5ss	845
100433368	3ss	114
100435718	5ss	74
100438394	5ss	11
100438819	3ss	845
100438902	5ss	860
100440527	3ss	31
100440625	5ss	57
100447556	3ss	860
100447702	5ss	458
10044988	3ss	68
10045135	5ss	61
100451352	3ss	458
100451516	5ss	1352
100452000	5ss	30
100452242	3ss	30
100452376	5ss	40
100453328	3ss	40
100453459	5ss	11
100454490	3ss	11
100454798	5ss	51
100455420	3ss	1352
100455548	5ss	110
100455560	5ss	327
100456457	3ss	51
100456564	5ss	74
100456672	3ss	74
100456783	5ss	41
100457507	3ss	41
100457664	5ss	43
100457772	3ss	43
100457854	5ss	33
100458760	3ss	33
100458884	5ss	48
100459014	3ss	48
100459093	3ss	100
100459206	5ss	24
100459297	5ss	95
100459359	3ss	24
100459533	5ss	55
100460303	3ss	55
100460449	5ss	71
100463341	3ss	71
100463677	3ss	437
100463775	5ss	717
100464817	3ss	95
100464971	5ss	106
100465228	5ss	324
100465483	3ss	324
100465610	5ss	120
100465730	3ss	120
100465855	5ss	304
100466117	3ss	304
100466488	5ss	238
100466993	3ss	717
100467992	3ss	238
100468085	5ss	217
100468196	3ss	217
100468365	5ss	298
100469165	3ss	298
100469343	5ss	204
100470246	3ss	204
100470366	5ss	196
100470794	3ss	196
100472590	3ss	106
100472712	5ss	109
100473333	5ss	378
100476921	3ss	109
100477089	5ss	205
100478906	3ss	378
100479034	5ss	240
100479280	3ss	240
100479426	5ss	311
100479674	3ss	311
100479862	5ss	191
100480386	3ss	15
100480858	3ss	205
100480976	5ss	57
100481691	3ss	162
100481860	5ss	342
100481989	3ss	342
100482173	5ss	480
100482361	3ss	480
100482459	5ss	605
100482544	3ss	605
100482661	5ss	270
100482834	3ss	156
100482837	3ss	114
100482991	5ss	217
100483238	3ss	57
100483322	3ss	217
100483371	5ss	128
100483383	5ss	199
100483484	3ss	199
100483562	5ss	343
100483868	3ss	343
100484056	5ss	420
100484416	3ss	420
100484589	5ss	408
100484668	3ss	408
100484821	5ss	349
100484941	3ss	349
100485134	5ss	420
100485324	3ss	420
100485480	5ss	160
100485675	3ss	160
100485764	5ss	450
100485878	3ss	450
100486004	5ss	356
100486095	3ss	356
100487942	3ss	128
100493827	3ss	14
100496127	5ss	1305
100503062	3ss	1305
100503249	5ss	785
100503872	5ss	176
100504531	3ss	785
100504674	5ss	745
10050865	3ss	61
100508785	5ss	11
10051042	5ss	72
100510800	3ss	745
100510907	5ss	781
100512392	3ss	781
100512508	5ss	638
100512808	3ss	638
100512947	5ss	1005
100514086	5ss	10
100515064	3ss	10
100515178	5ss	12
100515465	3ss	187
100515560	5ss	243
100515890	3ss	1005
100516040	5ss	592
10051640	3ss	72
10051686	5ss	92
100518224	3ss	592
100518381	5ss	951
100519365	3ss	12
100521722	3ss	951
100521890	5ss	623
100522764	3ss	623
100522871	5ss	889
100523316	5ss	10
1005237	3ss	209
100524222	3ss	243
100524284	5ss	184
100525434	3ss	184
100525561	5ss	147
100527391	3ss	147
100527505	5ss	306
100527905	3ss	889
100528117	5ss	988
100529923	3ss	988
100530134	5ss	654
100532300	3ss	654
100532397	5ss	626
100532489	3ss	626
100532610	5ss	499
10053288	3ss	92
100533238	5ss	10
100533533	3ss	306
100533751	5ss	251
10053378	5ss	50
100534029	3ss	251
100534070	3ss	499
100534142	5ss	135
100534297	5ss	625
100535170	3ss	135
100535241	5ss	110
100540131	3ss	625
100540255	5ss	538
100542218	3ss	538
100542388	5ss	684
100542721	3ss	110
100542833	5ss	95
100543572	3ss	10
100543834	3ss	684
100544007	3ss	95
100544104	5ss	169
100546052	3ss	169
100546215	5ss	378
100547559	3ss	378
100551024	3ss	11
100551192	5ss	57
100563818	3ss	57
100563995	5ss	55
100568678	3ss	10
100568881	5ss	20
1005742	5ss	10
100587886	3ss	20
1005898	5ss	427
100589861	5ss	14
100589876	3ss	55
100589939	5ss	63
10059170	3ss	50
10059240	5ss	47
100593044	3ss	63
100593108	5ss	58
100594697	5ss	92
100594856	3ss	58
100595085	5ss	51
100595900	3ss	51
100596021	5ss	83
10059727	3ss	47
100598718	3ss	92
100598835	5ss	114
100598871	5ss	48
100599056	3ss	83
100599116	5ss	92
100599454	3ss	114
10059949	5ss	58
100599522	5ss	125
100601441	3ss	125
100601564	5ss	161
100602242	3ss	92
100602305	5ss	100
100602438	3ss	48
100602484	5ss	66
100602575	3ss	66
100602641	5ss	54
100603851	3ss	161
100603915	3ss	100
100603981	5ss	106
100603986	5ss	141
100604073	3ss	141
100604077	3ss	106
100604129	5ss	165
100604139	5ss	53
100605205	3ss	54
100605267	5ss	31
100605738	3ss	31
100605807	5ss	43
100605964	3ss	43
100606034	3ss	165
100606070	5ss	24
100606132	5ss	276
100606228	3ss	276
100606306	5ss	190
100606408	3ss	24
100606575	5ss	14
100607517	3ss	53
100607583	5ss	56
100608073	3ss	56
100608130	5ss	55
100608693	3ss	14
100608765	5ss	47
100609625	3ss	47
100609699	5ss	45
100610038	3ss	55
100612193	3ss	190
100612364	5ss	125
100613450	3ss	34
100613649	3ss	11
100613786	3ss	125
100613882	5ss	29
100613924	5ss	186
100614181	3ss	29
100617564	3ss	186
1006258	3ss	10
1006352	5ss	61
100641169	5ss	12
100646034	5ss	2404
100646223	5ss	17
100646447	3ss	2421
100646552	5ss	5309
100646743	3ss	5309
100646810	5ss	2712
100650323	3ss	2712
100650445	5ss	4339
100650716	3ss	4339
1006528	3ss	106
100654039	3ss	14
100654726	5ss	13
100661174	5ss	74
100661570	5ss	10
1006617	5ss	102
100663295	5ss	15
100663307	5ss	143
1006645	3ss	427
100665836	3ss	12
100665897	5ss	15
100666924	3ss	158
100673582	3ss	13
100676721	3ss	84
100676925	5ss	164
10068157	5ss	93
10068310	5ss	23
1006847	5ss	316
100685281	3ss	164
100685438	5ss	298
100691809	3ss	298
100691953	5ss	183
10070309	3ss	116
10070405	5ss	212
100704822	3ss	183
100704971	5ss	140
100706210	3ss	140
100706260	5ss	232
100706431	5ss	162
100707200	3ss	162
100707316	5ss	120
100708267	3ss	120
100708392	5ss	174
100709336	3ss	174
100709512	5ss	179
100711581	3ss	179
100711703	5ss	214
100712160	5ss	10
100717303	3ss	214
100717416	5ss	115
100720400	3ss	115
100720532	5ss	162
100722979	3ss	162
100723097	5ss	223
100727944	3ss	223
100728044	5ss	219
100728641	3ss	232
100728803	5ss	690
100728852	5ss	43
100729399	3ss	10
100729403	3ss	219
100729469	5ss	256
100729589	3ss	256
100729601	5ss	14
100729684	5ss	246
100730285	3ss	15
100730287	3ss	43
100730356	5ss	29
100730449	5ss	61
100730593	3ss	61
100731165	3ss	246
100731284	5ss	219
100731976	5ss	171
100732080	3ss	171
100732180	5ss	160
100732306	3ss	219
100732573	3ss	14
100732780	5ss	15
100733091	3ss	15
100733708	3ss	160
100733851	5ss	119
100736113	3ss	119
100736236	5ss	144
100738950	3ss	144
100739008	5ss	151
10073912	3ss	58
100740380	3ss	151
100740521	5ss	231
100741035	3ss	690
100741095	5ss	714
100741155	3ss	231
100741279	5ss	187
100742814	3ss	187
100742827	3ss	714
100742872	5ss	196
100742985	5ss	391
100743755	3ss	391
10074516	3ss	212
100745891	5ss	46
10074656	5ss	205
100750784	3ss	196
100750878	5ss	256
100752655	3ss	256
100752759	5ss	253
100755214	5ss	12
100756913	3ss	46
100756959	3ss	253
100757062	5ss	80
100760838	3ss	80
100760960	5ss	121
10076153	3ss	205
10076220	5ss	186
10076379	3ss	186
100764095	3ss	12
100764142	5ss	16
100764247	3ss	16
100764315	5ss	18
10076482	5ss	215
100767246	3ss	121
100767435	5ss	166
10076857	3ss	215
10076917	5ss	275
100770525	5ss	332
100771674	3ss	332
100771945	5ss	395
100773553	3ss	166
100773671	5ss	153
100773702	3ss	395
100773935	5ss	392
100774703	3ss	153
100774754	5ss	134
100775156	3ss	392
100775350	5ss	894
100776976	3ss	894
100777174	5ss	444
100777646	3ss	134
100778775	3ss	444
100778875	5ss	519
100778996	3ss	519
100779082	5ss	702
100779198	5ss	11
10077971	3ss	275
10078023	5ss	249
100780282	3ss	702
100780365	5ss	516
100780686	3ss	516
100784183	3ss	29
100784284	5ss	33
100789003	3ss	11
100789184	5ss	15
100790910	3ss	15
100792225	3ss	33
100792335	5ss	32
100797798	5ss	147
100799875	3ss	147
100800053	5ss	273
100800658	3ss	273
100800766	5ss	487
1008012	3ss	102
100802340	3ss	487
100802477	5ss	250
100803800	3ss	250
100803887	3ss	32
100803991	5ss	31
100806934	3ss	31
100807063	5ss	46
100807233	3ss	18
100807346	5ss	14
100809541	3ss	14
100809594	5ss	17
10080963	3ss	249
10081041	5ss	308
100812515	3ss	46
100812615	5ss	44
1008135	5ss	52
10081405	3ss	308
100814490	3ss	44
100814599	5ss	27
10081529	5ss	185
100819188	3ss	27
100819222	5ss	320
100819266	5ss	29
100820648	3ss	29
100820687	5ss	17
100823064	3ss	320
100823279	5ss	317
100830031	5ss	10
100830614	3ss	17
100830676	5ss	28
100830679	3ss	10
100830762	5ss	12
100830941	3ss	12
100831116	5ss	10
100831640	3ss	10
100831646	3ss	28
100831720	5ss	39
100831810	5ss	11
100832149	3ss	11
100832350	5ss	23
100832415	3ss	39
100832499	5ss	39
10083307	3ss	185
100833140	3ss	39
100833198	5ss	37
100833522	3ss	23
100833710	5ss	12
10083394	5ss	169
100836060	3ss	12
100836402	3ss	37
100839200	3ss	306
100839299	5ss	460
100840475	3ss	460
100840629	5ss	268
10084243	3ss	169
100843098	3ss	279
100843177	5ss	12
100843364	5ss	298
10084347	5ss	183
100844065	5ss	44
100844880	5ss	10
100845128	3ss	298
100845190	3ss	44
100845334	5ss	59
100846788	3ss	59
100847168	5ss	44
10084734	3ss	183
100847425	3ss	10
100847546	3ss	44
100847552	5ss	10
100847702	5ss	31
100847767	3ss	10
100847966	5ss	20
10084834	5ss	169
100849718	3ss	31
100849780	5ss	38
10085168	3ss	169
10085276	5ss	133
10085513	3ss	133
10085548	5ss	116
100856288	3ss	12
100856380	5ss	31
100858244	3ss	38
100858323	5ss	27
100859444	3ss	27
100861004	3ss	20
100861122	5ss	12
100861498	5ss	345
100861586	3ss	17
100861717	5ss	35
100865679	3ss	12
100865885	3ss	345
100866055	5ss	962
100866758	3ss	962
100866837	5ss	1076
100866954	3ss	1076
100867123	5ss	905
100867218	3ss	905
100867837	5ss	749
100871708	5ss	11
100874004	3ss	11
100874174	5ss	10
100878266	5ss	82
100878776	3ss	55
100878804	3ss	27
100878883	5ss	121
100879148	3ss	121
100879208	5ss	129
100879470	3ss	129
100879540	5ss	96
100879824	3ss	96
100880517	3ss	10
10088264	3ss	116
10088407	5ss	110
100884594	3ss	31
100884760	5ss	36
100886281	3ss	754
100886415	5ss	1289
100887048	3ss	1289
100887180	5ss	537
100888096	3ss	35
100888132	5ss	25
100889778	3ss	31
100889857	5ss	11
100893631	3ss	15
10089601	3ss	110
10089735	5ss	148
100899353	3ss	75
100904556	3ss	447
100904921	5ss	1121
100905488	3ss	11
100905554	5ss	11
100908490	3ss	11
100908552	5ss	29
100909849	3ss	25
100909927	5ss	12
1009100	3ss	52
10091058	3ss	148
10091189	5ss	284
100914983	3ss	12
100915085	5ss	26
10091982	5ss	11
100920943	3ss	26
100920961	3ss	29
100921037	5ss	30
100921048	5ss	26
1009216	5ss	143
100925450	3ss	30
100925600	5ss	44
100926236	3ss	1107
100926376	5ss	273
100926388	5ss	344
100928207	3ss	26
100928437	5ss	21
100928668	3ss	631
100928801	5ss	786
100930285	3ss	31
100930290	3ss	755
100930388	5ss	642
100930726	3ss	642
100930825	5ss	372
1009328	3ss	143
100933512	3ss	21
100933650	5ss	18
100934450	3ss	372
100934505	5ss	18
100934596	5ss	586
10093752	5ss	293
1009397	5ss	156
10094071	3ss	284
10094181	5ss	182
100949848	3ss	18
100950007	5ss	27
100950331	3ss	18
10095044	3ss	11
100950461	5ss	24
100951829	5ss	45
10095230	5ss	27
100953714	3ss	44
100953765	3ss	45
100953857	5ss	35
100955178	3ss	35
100955252	5ss	20
100955663	3ss	586
100955776	5ss	519
100957029	3ss	519
100959446	3ss	20
100959514	5ss	20
100960374	3ss	27
100960486	5ss	12
100961558	3ss	12
100961605	5ss	19
100962087	3ss	20
100962162	5ss	35
100963641	3ss	19
100963763	5ss	28
1009642	3ss	316
100964485	3ss	28
100964818	5ss	12
100967563	5ss	105
100968125	3ss	14
1009683	3ss	156
1009817	5ss	82
100982815	3ss	35
100982925	5ss	35
1009836	5ss	311
100983807	3ss	12
100985514	3ss	61
100985634	5ss	117
100986152	3ss	117
100986227	5ss	81
100988653	3ss	111
100988700	5ss	124
10098915	3ss	27
10098985	5ss	27
100992207	3ss	24
100992377	5ss	28
100992411	3ss	35
100992513	5ss	29
100994160	3ss	124
100994328	5ss	232
100995405	3ss	28
100995416	3ss	232
100995531	5ss	447
100995545	5ss	12
100996157	3ss	12
101005778	3ss	447
101005919	5ss	384
101006471	5ss	100
101011522	3ss	384
101011585	5ss	437
10101175	3ss	27
101012227	3ss	437
101012365	5ss	142
10101565	5ss	19
101016053	3ss	142
101016160	5ss	172
101017340	3ss	172
10101978	3ss	182
101020726	3ss	29
101020828	5ss	25
10102087	5ss	118
10102584	3ss	19
10102660	5ss	18
10103835	3ss	118
10103895	5ss	125
10104015	3ss	18
10104171	5ss	32
10104364	3ss	32
10104475	5ss	27
10105416	3ss	27
10105476	3ss	125
1010548	3ss	82
10105510	5ss	30
10105595	5ss	93
10106040	3ss	93
10106113	5ss	178
101063258	3ss	100
101063380	5ss	228
10106413	3ss	178
10106559	5ss	196
10107078	3ss	196
10107178	5ss	195
10107548	3ss	195
10107663	5ss	209
101077887	3ss	25
101077985	5ss	30
10108893	3ss	209
10109001	5ss	262
101090717	5ss	72
101090965	3ss	128
101090971	3ss	100
101091068	5ss	341
101101506	3ss	30
101101559	5ss	11
101117269	3ss	72
101117412	5ss	62
101120592	3ss	62
101120732	5ss	59
101121984	3ss	59
101122153	5ss	48
101124174	3ss	48
101124273	5ss	55
101124712	3ss	55
101124759	5ss	59
101127635	5ss	13
101133632	3ss	13
101136812	3ss	59
101136975	5ss	72
101143251	5ss	30
101143420	3ss	30
101143518	5ss	50
10114555	3ss	262
10114665	5ss	384
101147577	3ss	72
101147760	5ss	49
101147909	3ss	49
101148058	5ss	52
10114937	3ss	384
101149912	3ss	50
101150033	5ss	35
101150063	3ss	52
101150164	5ss	50
10115046	5ss	206
101151194	3ss	50
101152371	3ss	35
101152632	5ss	45
10116214	3ss	206
101162937	5ss	253
10116357	5ss	345
101163575	3ss	253
101163644	5ss	434
101164052	3ss	434
101164144	5ss	529
101165522	3ss	529
101167681	3ss	11
101167821	5ss	16
101169642	3ss	45
101170247	5ss	30
101176363	3ss	341
101176424	5ss	366
101179535	5ss	94
101179929	3ss	16
101180006	5ss	33
101182352	3ss	33
101182965	3ss	94
101183091	5ss	90
101183174	3ss	366
101183330	5ss	167
101185393	3ss	90
101185483	5ss	97
101186040	3ss	97
101186183	5ss	61
101187279	3ss	167
101187377	5ss	162
101188052	3ss	61
101188260	5ss	98
101188528	3ss	30
101188619	3ss	162
101188771	5ss	146
101190437	3ss	146
101190520	5ss	139
101192452	3ss	139
101192504	5ss	203
101192816	3ss	98
101193472	5ss	122
101194389	3ss	203
101194424	5ss	228
101194733	3ss	122
101194796	5ss	150
101195273	3ss	150
101195403	5ss	259
101196607	3ss	228
101196657	5ss	185
10119765	3ss	320
101198379	3ss	259
101198520	5ss	344
10119881	5ss	384
101199068	3ss	185
101200486	3ss	344
10122784	3ss	409
10122912	5ss	244
10123030	3ss	244
10123148	5ss	213
101237567	5ss	11
101243384	3ss	11
10126252	3ss	30
10126410	5ss	26
10127496	3ss	213
10127606	5ss	269
101280847	5ss	145
101283614	3ss	145
10128818	3ss	269
10128948	5ss	318
101293123	5ss	398
101298634	3ss	328
101298686	3ss	70
101298795	5ss	12
101298848	5ss	557
10130133	3ss	318
10130226	5ss	300
101304281	3ss	544
101304284	3ss	13
101304327	3ss	12
101304355	5ss	655
10130512	3ss	300
10130634	5ss	269
10130824	3ss	26
10130875	5ss	13
101309059	3ss	655
101309114	5ss	643
101311471	3ss	643
10131976	3ss	269
10132069	5ss	129
10132086	3ss	293
10132135	3ss	13
10132272	5ss	262
10132274	5ss	18
101333229	5ss	19
10133335	3ss	18
10133372	5ss	15
101336155	3ss	19
10133865	3ss	129
10133936	5ss	277
10134969	3ss	277
10135007	5ss	312
10135973	3ss	312
10136007	3ss	15
10136047	5ss	266
10136098	5ss	16
101361898	5ss	229
101362126	3ss	229
101362227	5ss	187
10136444	3ss	16
10136529	5ss	14
10136884	3ss	266
10136958	5ss	321
101372408	3ss	187
101372521	5ss	136
